Buy Date,Ticker,Buy Strat,Last Alert Date,Stop Loss,Buy Price,Target,Call,Status,CMP,Quantity,Hit Type,Sell Price,Sell Date
10/9/2024,RICHAIND.BO,BB_DC,10/8/2024,1.8,1.8,0,Long,Open,1.99000001,#DIV/0!,,,
10/9/2024,RIR.BO,BB_DC,10/8/2024,1691.9,3694.27,0,Long,Open,3460,0,,,
10/9/2024,RITES.NS,EW_DC,10/9/2024,292.2,312.1,0,Long,Open,307.3999939,50,,,
10/9/2024,ROLLT.NS,EW_W,10/9/2024,2,2.05,0,Long,Open,2.220000029,20000,,,
10/9/2024,ROLTA.NS,EW_DC,10/9/2024,3.13,3.36,0,Long,Open,4.420000076,4348,,,
10/9/2024,RPOWER.NS,EW_UC,10/9/2024,29.21,45.89,0,Long,Open,41.97999954,60,,,
10/9/2024,SABOOSOD.BO,EW_DC,10/9/2024,15.47,27.54,0,Long,Open,26.89999962,83,,,
10/9/2024,SAENTER.BO,BB_W,10/8/2024,28.39,32.64,0,Long,Open,43.70999908,235,,,
10/9/2024,SALASAR.NS,EW_BW,10/9/2024,17.76,18.92,0,Long,Open,18.79999924,862,,,
10/9/2024,SALZERELEC.NS,ATR_UC,10/7/2024,909.75,921.3,0,Long,Open,1145.550049,87,,,
10/9/2024,SAMRATPH.BO,EW_DC,10/9/2024,330,527.83,0,Long,Open,535,5,,,
10/9/2024,SAMTEX.BO,BB_W,10/8/2024,2.56,2.78,0,Long,Open,2.900000095,4545,,,
10/9/2024,SAMYAKINT.BO,BB_W,10/8/2024,54.2,50.92,0,Long,Open,49.15999985,-305,,,
10/9/2024,SANDHAR.NS,ATRLR_DC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,541.8499756,#N/A,,,
10/9/2024,SANPA.BO,EW_W,10/9/2024,201.45,271.5,0,Long,Open,280.0499878,14,,,
10/9/2024,SARLAPOLY.NS,LR_DC,10/8/2024,81.56,84.36,0,Long,Open,88.09999847,357,,,
10/9/2024,SASKEN.NS,ATRBB_DC,10/8/2024,1439.9,1465.86,0,Long,Open,1710.5,39,,,
10/9/2024,SBGLP.BO,ATR_BW,10/3/2024,112.4,109.13,0,Long,Open,133,-306,,,
10/9/2024,SCANPGEOM.BO,BB_UC,10/8/2024,8.05,9.2,0,Long,Open,8.770000458,870,,,
10/9/2024,SEAMECLTD.NS,BB_DC,10/4/2024,1309.05,1330.5,0,Long,Open,1380,47,,,
10/9/2024,SECMARK.BO,ATR_DC,10/7/2024,86.1,86.66,0,Long,Open,117,1786,,,
10/9/2024,SGL.NS,BB_DC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.39999962,#N/A,,,
10/9/2024,SHAHALLOYS.NS,BB_W,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,75.44999695,#N/A,,,
10/9/2024,SHALIWIR.BO,EW_BW,10/9/2024,22.25,26.62,0,Long,Open,26.15999985,229,,,
10/9/2024,SHARPINV.BO,BB_DC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.75,#N/A,,,
10/9/2024,SHEMAROO.NS,EW_BW,10/9/2024,169.9,184,0,Long,Open,182.7700043,71,,,
10/9/2024,SHERVANI.BO,BB_DC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,560,#N/A,,,
10/9/2024,SHESHAINDS.BO,EW_DC,10/9/2024,12.06,13.26,0,Long,Open,13.25,833,,,
10/9/2024,SHGANEL.BO,LR_UC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,36.70000076,#N/A,,,
10/9/2024,SHILCTECH.BO,BB_DC,10/3/2024,5351.6,5415.42,0,Long,Open,7300,16,,,
10/9/2024,SHIVAMILLS.NS,EW_BW,10/9/2024,83.5,89.92,0,Long,Open,94.30999756,156,,,
10/9/2024,SHRIKRISH.BO,EWBB_W,10/9/2024,35.61,38.46,0,Long,Open,39.97999954,351,,,
10/9/2024,SHRISTI.BO,EW_DC,10/9/2024,40,56.2,0,Long,Open,56.15999985,62,,,
10/9/2024,SHUKRAPHAR.BO,EW_UC,10/9/2024,59.02,69.15,0,Long,Open,73.56999969,99,,,
10/9/2024,SHYAMTEL.BO,EWBB_DC,10/9/2024,12.21,12.96,0,Long,Open,13.92000008,1333,,,
10/9/2024,SIEMENS.NS,ATRBB_UC,10/8/2024,6502.75,7066.42,0,Long,Open,7749.799805,2,,,
10/9/2024,SIKA.BO,EW_BW,10/9/2024,2321,2597.49,0,Long,Open,2615,4,,,
10/9/2024,SINDHUTRAD.BO,ATRBB_DC,10/8/2024,21.28,20.47,0,Long,Open,24.93000031,-1235,,,
10/9/2024,SIYSIL.NS,BB_BW,10/4/2024,471.6,473.23,0,Long,Open,527.3499756,613,,,
10/9/2024,SKCIL.BO,EW_DC,10/9/2024,195,215.6,0,Long,Open,215,49,,,
10/9/2024,SKFINDIA.NS,BB_W,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5318.100098,#N/A,,,
10/9/2024,SKMEGGPROD.NS,EW_BW,10/9/2024,234.05,250.36,0,Long,Open,254.5,61,,,
10/9/2024,SKPMIL.BO,EW_UC,10/9/2024,38.82,39.31,0,Long,Open,41,2041,,,
10/9/2024,SKYIND.BO,EW_UC,10/9/2024,96.15,166.34,0,Long,Open,173,14,,,
10/9/2024,SOMICONVEY.NS,EW_DC,10/9/2024,143.01,152.98,0,Long,Open,180.8099976,100,,,
10/9/2024,SONAL.BO,EWBB_DC,10/9/2024,95,116.4,0,Long,Open,125.8000031,47,,,
10/9/2024,SOTL.NS,EW_DC,10/9/2024,501.5,555.49,0,Long,Open,541.6500244,19,,,
10/9/2024,SOVERDIA.BO,EW_W,10/9/2024,26.25,45.24,0,Long,Open,46.5,53,,,
10/9/2024,SPENTA.BO,EW_W,10/9/2024,112,119.38,0,Long,Open,133,136,,,
10/9/2024,SPMLINFRA.NS,EW_UC,10/9/2024,230.65,241.59,0,Long,Open,246.1999969,91,,,
10/9/2024,SPORTKING.BO,LR_W,10/8/2024,106.45,112.71,0,Long,Open,116.5,160,,,
10/9/2024,SRMCL.BO,ATREW_BW,10/9/2024,50.53,86.49,0,Long,Open,106.7799988,28,,,
10/9/2024,SSWRL.BO,EW_UC,10/9/2024,34.2,39.83,0,Long,Open,39.90000153,178,,,
10/9/2024,STAR.NS,BB_UC,9/23/2024,900.55,1299.96,0,Long,Open,1654.5,3,,,
10/9/2024,STARDELTA.BO,ATREW_DC,10/9/2024,680.5,769.95,0,Long,Open,1059.800049,11,,,
10/9/2024,SUKHJITS.BO,EW_DC,10/9/2024,512,547.58,0,Long,Open,592.1500244,28,,,
10/9/2024,SUMERUIND.BO,ATREW_DC,10/9/2024,1.97,2.02,0,Long,Open,2.650000095,20000,,,
10/9/2024,SUNILAGR.BO,EW_UC,10/9/2024,133,137,0,Long,Open,147,250,,,
10/9/2024,SUPERIOR.BO,ATREW_BW,10/9/2024,1.3,1.48,0,Long,Open,1.399999976,5556,,,
10/9/2024,SUPERTEX.BO,EW_W,10/9/2024,9.25,10.56,0,Long,Open,11.10000038,763,,,
10/9/2024,SURANASOL.NS,ATREW_UC,10/9/2024,34.06,54.64,0,Long,Open,53,49,,,
10/9/2024,SUVEN.NS,EW_BW,10/9/2024,126.02,142.1,0,Long,Open,132.7899933,62,,,
10/9/2024,SVAMSOF.BO,ATR_DC,10/8/2024,3.11,2.96,0,Long,Open,4.800000191,-6667,,,
10/9/2024,SWANENERGY.NS,EW_DC,10/9/2024,509.55,553.74,0,Long,Open,543.4000244,23,,,
10/9/2024,SYBLY.BO,EW_UC,10/9/2024,6.8,7.07,0,Long,Open,11.52000046,3704,,,
10/9/2024,SYMBIOX.BO,ATREW_BW,10/9/2024,2.6,3.15,0,Long,Open,2.970000029,1818,,,
10/9/2024,SYMPHONY.NS,ATRBB_UC,9/18/2024,913,1457.24,0,Long,Open,1808.599976,2,,,
10/9/2024,SYSTMTXC.BO,EW_BW,10/9/2024,1122.5,1639.81,0,Long,Open,1757,2,,,
10/9/2024,TAIIND.BO,BB_DC,9/19/2024,38,38.65,0,Long,Open,40.43000031,1538,,,
10/9/2024,TANAA.BO,EWBB_DC,10/9/2024,460,488,0,Long,Open,484.5,36,,,
10/9/2024,TARMAT.NS,EW_DC,10/9/2024,77.8,80.41,0,Long,Open,83,383,,,
10/9/2024,TATIAGLOB.BO,EW,10/9/2024,3,3.23,0,Long,Open,3.269999981,4348,,,
10/9/2024,TBZ.NS,EWBB_DC,10/9/2024,93.05,273.61,0,Long,Open,296.3999939,6,,,
10/9/2024,TCIIND.BO,EWLR_DC,10/9/2024,1226,1389.96,0,Long,Open,1330,6,,,
10/9/2024,TEJNAKSH.BO,EW_W,10/9/2024,23,23.87,0,Long,Open,25.5,1149,,,
10/9/2024,TELECANOR.BO,BB_DC,10/4/2024,5.25,6.27,0,Long,Open,6.940000057,980,,,
10/9/2024,TERAI.BO,BB_DC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,181.4499969,#N/A,,,
10/9/2024,TGBHOTELS.NS,EW_DC,10/9/2024,14.03,15.18,0,Long,Open,16.10000038,870,,,
10/9/2024,TGVSL.BO,LR_DC,9/3/2024,80.75,96.19,0,Long,Open,106.4599991,65,,,
10/9/2024,THANGAMAYL.NS,ATR_UC,10/8/2024,1636.5,2234.44,0,Long,Open,2465,2,,,
10/9/2024,THEMISMED.NS,EW_BW,10/9/2024,180.55,265.39,0,Long,Open,268.2999878,12,,,
10/9/2024,TINNARUBR.BO,EW_DC,10/9/2024,1420,1494.4,0,Long,Open,1610,13,,,
10/9/2024,TORNTPOWER.NS,EW_UC,10/9/2024,1295.1,1910.71,0,Long,Open,1944.300049,2,,,
10/9/2024,TRANSCOR.BO,EW_BW,10/9/2024,33.38,35.16,0,Long,Open,35,562,,,
10/9/2024,TRANSFD.BO,EW_DC,10/9/2024,124.5,127.5,0,Long,Open,0,333,,,
10/9/2024,TRF.NS,EWBB_DC,10/9/2024,455.55,471,0,Long,Open,486.5499878,65,,,
10/9/2024,TRIVENIGQ.BO,EW_DC,10/9/2024,18,19.34,0,Long,Open,19.63999939,746,,,
10/9/2024,TTFL.BO,BB_DC,10/8/2024,36.15,45.38,0,Long,Open,74.88999939,108,,,
10/9/2024,TTIENT.BO,EW_DC,10/9/2024,11.51,12.66,0,Long,Open,13.02000046,870,,,
10/9/2024,UNIINFO.NS,ATRBB_W,9/13/2024,28.8,37.07,0,Long,Open,39.38000107,121,,,
10/9/2024,UNIVPHOTO.NS,EW_UC,10/9/2024,355,378.72,0,Long,Open,385.4500122,42,,,
10/9/2024,UNJHAFOR.BO,ATRBB_BW,10/8/2024,25,28.98,0,Long,Open,31.98999977,251,,,
10/9/2024,UPSURGE.BO,ATR_W,9/30/2024,43,144.68,0,Long,Open,180.6000061,10,,,
10/9/2024,VADILALIND.NS,EW_BW,10/9/2024,3650.05,3895.49,0,Long,Open,3993.550049,4,,,
