Ticker,Last Alert Date_x,Buy Price_x,Target_x,Call_x,Status_x,Buy Date,Buy Strat,Last Alert Date_y,ll,Buy Price_y,Target_y,Call_y,Status_y,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
CHOICEIN.BO,2024-10-28,456.19,,Long,Open,2024-10-31,ATRBB_UC,2024-10-28,450.0,456.19,,Long,Open,522.9,2024-11-01,161.55088852988698,,,India
CIPLA.NS,2024-10-31,1530.03,,Long,Open,2024-10-31,EW_BW,2024-10-31,1403.0,1530.03,,Long,Open,1551.75,2024-11-01,7.872156183578684,,,India
COCHINM.BO,2024-10-28,301.0,,Long,Open,2024-10-31,BB_W,2024-10-28,295.05,301.0,,Long,Open,383.95,2024-11-01,168.0672268907566,,,India
COCHINSHIP.NS,2024-10-29,1378.46,,Long,Open,2024-10-31,BB_DC,2024-10-29,1340.0,1378.46,,Long,Open,1497.2,2024-11-01,26.00104004160164,,,India
COLINZ.BO,2024-10-28,50.69,,Long,Open,2024-10-31,BBLR_BW,2024-10-28,49.03,50.69,,Long,Open,68.14,2024-11-01,602.4096385542181,,,India
COMFINTE.BO,2024-10-30,11.71,,Long,Open,2024-10-31,BB_DC,2024-10-30,10.31,11.71,,Long,Open,13.26,2024-11-01,714.2857142857141,,,India
COMSYN.BO,2024-10-31,62.53,,Long,Open,2024-10-31,EWBB_W,2024-10-31,58.82,62.53,,Long,Open,67.4,2024-11-01,269.5417789757412,,,India
CONCORD.BO,2024-10-31,36.92,,Long,Open,2024-10-31,EW_DC,2024-10-31,33.0,36.92,,Long,Open,38.0,2024-11-01,255.1020408163264,,,India
CORNE.BO,2024-10-25,16.57,,Long,Open,2024-10-31,ATR_UC,2024-10-25,16.47,16.57,,Long,Open,17.46,2024-11-01,9999.999999999858,,,India
COROMANDEL.NS,2024-10-08,1555.78,,Long,Open,2024-10-31,LR_W,2024-10-08,1560.0,1555.78,,Long,Open,1668.65,2024-11-01,-236.96682464454824,,,India
CRANEINFRA.BO,2024-10-28,21.4,,Long,Open,2024-10-31,BBLR_DC,2024-10-28,20.3,21.4,,Long,Open,25.8,2024-11-01,909.0909090909108,,,India
CRAVATEX.BO,2024-10-31,460.0,,Long,Open,2024-10-31,EW_UC,2024-10-31,433.3,460.0,,Long,Open,447.2,2024-11-01,37.45318352059927,,,India
CRSTCHM.BO,2024-10-31,203.49,,Long,Open,2024-10-31,EW_W,2024-10-31,200.95,203.49,,Long,Open,221.65,2024-11-01,393.7007874015716,,,India
CUBIFIN.BO,2024-10-28,2.04,,Long,Open,2024-10-31,LR_DC,2024-10-28,1.97,2.04,,Long,Open,2.37,2024-11-01,14285.714285714274,,,India
CUPID.NS,2024-10-31,79.6,,Long,Open,2024-10-31,EW_BW,2024-10-31,70.1,79.6,,Long,Open,80.7,2024-11-01,105.26315789473684,,,India
CYBELEIND.BO,2024-10-31,44.71,,Long,Open,2024-10-31,EW_UC,2024-10-31,42.42,44.71,,Long,Open,44.25,2024-11-01,436.6812227074237,,,India
CYBERTECH.NS,2024-10-24,213.19,,Long,Open,2024-10-31,LR_DC,2024-10-24,195.89,213.19,,Long,Open,224.98,2024-11-01,57.80346820809245,,,India
DAIKAFFI.BO,2024-10-14,166.15,,Long,Open,2024-10-31,ATR_UC,2024-10-14,235.05,166.15,,Long,Open,249.35,2024-11-01,-14.513788098693755,,,India
DAVANGERE.BO,2024-10-31,6.4,,Long,Open,2024-10-31,EW_DC,2024-10-31,5.83,6.4,,Long,Open,6.64,2024-11-01,1754.38596491228,,,India
DCI.NS,2024-10-24,359.61,,Long,Open,2024-10-31,BB_DC,2024-10-24,345.4,359.61,,Long,Open,361.2,2024-11-01,70.37297677691748,,,India
DCMFINSERV.NS,2024-10-25,6.46,,Long,Open,2024-10-31,LR_DC,2024-10-25,6.3,6.46,,Long,Open,7.49,2024-11-01,6249.9999999999945,,,India
DEN.NS,2024-10-31,47.32,,Long,Open,2024-10-31,EW_DC,2024-10-31,42.16,47.32,,Long,Open,48.13,2024-11-01,193.79844961240295,,,India
