Ticker,Date/Time,Close,hh,ll,FromLow,FromHigh
AMBALALSA.BO,10/4/2024,56.56,77.70,53.50,12.00,0.00
AMBALALSA.BO,10/9/2024,56.52,77.70,51.27,0.00,0.00
AMBARPIL.BO,10/4/2024,226.00,262.90,,1.00,
AMBARPIL.BO,10/9/2024,215.65,262.90,,2.00,
AMBER.NS,10/4/2024,4918.90,5361.15,3964.00,1.00,1.00
AMBER.NS,10/9/2024,5154.05,5361.15,3964.00,2.00,2.00
AMBICAAGAR.BO,10/4/2024,28.50,36.40,27.00,1.00,0.00
AMBICAAGAR.BO,10/9/2024,28.00,36.40,27.00,2.00,1.00
AMBIKCO.NS,10/4/2024,1663.10,1869.00,1655.30,7.00,9.00
AMBIKCO.NS,10/9/2024,1618.80,1869.00,1571.65,0.00,0.00
AMBITION.BO,10/4/2024,2.96,3.25,2.57,7.00,4.00
AMBITION.BO,10/8/2024,2.96,3.25,2.57,8.00,5.00
AMCOIND.BO,10/4/2024,78.50,96.31,54.30,1.00,3.00
AMCOIND.BO,10/9/2024,78.10,96.31,73.10,0.00,4.00
AMBUJACEM.NS,10/4/2024,610.70,643.30,598.00,2.00,0.00
AMBUJACEM.NS,10/9/2024,607.95,643.30,584.45,0.00,0.00
AMFORG.BO,10/4/2024,10.37,13.51,9.95,0.00,0.00
AMFORG.BO,10/9/2024,10.40,13.51,9.07,0.00,0.00
AMDIND.NS,10/4/2024,69.68,87.90,68.30,0.00,0.00
AMDIND.NS,10/9/2024,68.29,87.90,63.06,0.00,0.00
AMITINT.BO,10/4/2024,4.30,4.30,3.51,0.00,
AMITINT.BO,10/9/2024,3.90,4.30,3.51,1.00,
AMJLAND.NS,10/4/2024,47.38,65.31,47.00,0.00,0.00
AMJLAND.NS,10/9/2024,45.95,65.31,44.00,0.00,0.00
AMNPLST.BO,10/4/2024,305.75,359.00,299.35,0.00,0.00
AMNPLST.BO,10/9/2024,296.25,359.00,280.50,0.00,0.00
AMRAAGRI.BO,10/4/2024,1.10,1.69,1.06,13.00,1.00
AMRAAGRI.BO,10/9/2024,1.09,1.69,1.01,0.00,0.00
AMRAPLIN.BO,10/4/2024,15.29,19.98,14.23,1.00,1.00
AMRAPLIN.BO,10/9/2024,15.62,19.98,14.23,2.00,2.00
AMRUTANJAN.NS,10/4/2024,768.55,862.60,732.25,1.00,5.00
AMRUTANJAN.NS,10/9/2024,770.10,862.60,728.00,0.00,0.00
AMTL.BO,10/4/2024,41.37,49.44,38.00,1.00,1.00
AMTL.BO,10/9/2024,40.83,49.44,38.00,2.00,2.00
ANANTRAJ.NS,10/4/2024,721.05,749.00,319.15,2.00,2.00
ANANTRAJ.NS,10/9/2024,738.65,749.00,319.15,3.00,3.00
ANDHRAPET.BO,10/4/2024,90.85,103.00,90.10,0.00,0.00
ANDHRAPET.BO,10/9/2024,93.45,103.00,85.05,0.00,0.00
ANDHRAPAP.NS,10/4/2024,104.32,118.40,101.00,0.00,0.00
ANDHRAPAP.NS,10/9/2024,101.83,118.40,98.50,0.00,0.00
ANDHRSUGAR.NS,10/4/2024,110.12,128.99,107.85,8.00,5.00
ANDHRSUGAR.NS,10/9/2024,105.18,128.99,102.73,0.00,0.00
ANDREWYU.BO,10/4/2024,43.47,65.65,42.05,0.00,0.00
ANDREWYU.BO,10/9/2024,44.14,65.65,41.50,0.00,0.00
ANERI.BO,10/4/2024,6.42,7.27,5.83,0.00,0.00
ANERI.BO,10/8/2024,6.39,7.27,5.83,1.00,1.00
ANGEL.BO,9/9/2024,25.49,,,,
ANG.BO,10/4/2024,50.38,62.75,46.00,27.00,3.00
ANG.BO,10/9/2024,50.67,62.75,46.50,28.00,4.00
ANGELONE.NS,10/4/2024,2661.70,2794.30,2025.00,10.00,6.00
ANGELONE.NS,10/9/2024,2594.05,2794.30,2025.00,11.00,7.00
ANIKINDS.NS,10/4/2024,75.10,95.91,41.60,0.00,3.00
ANIKINDS.NS,10/9/2024,73.66,95.91,72.22,0.00,4.00
ANJANI.BO,10/4/2024,45.28,47.54,37.35,4.00,4.00
ANJANI.BO,10/9/2024,49.28,52.00,37.35,0.00,0.00
ANJANIFIN.BO,10/4/2024,12.73,15.38,10.00,0.00,3.00
ANJANIFIN.BO,10/9/2024,12.28,15.38,11.53,0.00,4.00
ANJANIFOODS.BO,10/4/2024,38.00,52.41,36.10,16.00,0.00
ANJANIFOODS.BO,10/9/2024,37.85,52.41,36.00,17.00,0.00
