"Buy_DATE","Sell_Day","Call","Entry_Criteria","Stock","Buy_Qty","Buy_Price","Sell_Qty","Sell_Price","Stop_Loss","Target_Price","Duration"
"2024-01-29","2024-02-01",NULL,"D_EW","MITCON","872","139.00","872","158.00","87.00","158.00",8
"2024-01-29","2024-02-01",NULL,"D_EW","MMP","977","229.00","977","288.00","183.00","288.00",8
"2024-01-29","2024-01-29",NULL,"D_EW","RVHL","1520","60.00","1520","60.00","30.00","60.00",8
"2024-01-29","2024-01-31",NULL,"D_EW","SARDAEN","3103","244.00","3103","251.00","229.00","251.00",8
"2024-01-29","2024-01-30",NULL,"D_EW","TEXMOPIPES","2098","89.00","2098","94.00","67.00","94.00",8
"2024-01-29","2024-01-11",NULL,"D_EW","TTL","1713","116.00","1713","114.00","90.00","114.00",8
"2024-01-29","2024-02-05",NULL,"D_EW","UNICHEMLAB","593","477.00","593","539.00","401.00","539.00",8
"2024-01-29","2024-02-01",NULL,"D_EW","ZENTEC","613","762.00","613","870.00","688.00","870.00",8
"2024-01-30","2024-01-31",NULL,"PR_EW","ORISSAMINE","55","7218.00","55","7494.00","6400.00","7494.00",7
"2024-01-31","2023-12-29",NULL,"PR_EW","KINGFA","219","2297.00","219","2366.00","2090.00","2366.00",6
"2024-01-10","2024-02-06",NULL,"EW_UC","NLCINDIA","55","230.00","55","286.00","212.00","286.00",28
"2024-01-18","2024-02-06",NULL,"ATR/EW_W","VASCONEQ","52","86.00","52","91.00","67.00","91.00",20
"2024-01-20","2024-02-05",NULL,"D_EW","NECCLTD","408","30.00","408","34.00","28.00","34.00",18
"2024-01-20","2024-02-02",NULL,"D_EW","TIDEWATER","3","1417.00","3","1798.00","1108.00","1798.00",18
"2024-01-24","2024-02-06",NULL,"D_EW","BHAGYANGR","26","102.00","26","114.00","63.00","114.00",14
"2024-01-24","2024-02-02",NULL,"D_EW","DAMODARIND","91","59.00","91","66.00","48.00","66.00",14
"2024-01-24","2024-01-29",NULL,"D_EW","STEELXIND","208","13.00","208","17.00","8.00","17.00",14
"2024-01-25","2024-02-06",NULL,"D_EW","SUBEXLTD","110","37.00","110","44.00","28.00","44.00",13
"2024-01-29","2024-02-02",NULL,"D_EW","CENTURYTEX","3","1418.00","3","1565.00","1046.00","1565.00",9
"2024-01-29","2024-02-02",NULL,"D_EW","INDIAGLYCO","4","919.00","4","939.00","682.00","939.00",9
"2024-01-29","2024-01-31",NULL,"D_EW","TIRUMALCHM","18","243.00","18","243.00","189.00","243.00",9
"2024-01-31","2024-01-29",NULL,"PR_EW","ROSSELLIND","18","473.00","18","449.00","418.00","452.00",7
"2024-02-02","2024-02-05",NULL,"PR_EW","AGROPHOS","43","56.00","43","56.00","33.00","64.00",5
"2023-12-21","2024-02-07",NULL,"EW/ATR_UC","METROPOLIS","4","1710.00","4","1777.00","1450.00","1777.00",49
"2024-01-03","2024-02-07",NULL,"D_EW","ASHOKA","140","138.00","140","193.00","131.00","193.00",36
"2024-01-09","2024-02-07",NULL,"D_EW","JTEKTINDIA","23","175.00","23","164.00","132.00","164.00",30
"2024-01-15","2024-02-08",NULL,"D_EW","MAANALU","34","150.00","34","167.00","121.00","167.00",24
"2024-01-15","2024-02-07",NULL,"D_EW","NITIRAJ","50","128.00","50","185.00","108.00","185.00",24
"2024-01-16","2024-02-07",NULL,"D_EW","KANANIIND","191","9.00","191","7.00","3.00","7.00",23
"2024-01-16","2024-02-06",NULL,"D_EW","SASTASUNDR","21","446.00","21","436.00","398.00","436.00",23
"2024-01-18","2024-02-01",NULL,"EW_BW","BIL","6","341.00","6","385.00","185.00","385.00",21
"2024-01-18","2024-02-02",NULL,"ATR/EW_UC","SEQUENT","20","135.00","20","140.00","86.00","140.00",21
"2024-01-18","2024-02-06",NULL,"EW_BW","SHAHALLOYS","28","85.00","28","84.00","50.00","84.00",21
"2024-01-18","2024-02-05",NULL,"PR/EW_DC","TIL","35","389.00","35","526.00","360.00","526.00",21
"2024-01-19","2024-02-06",NULL,"ATR/EW_UC","IMAGICAA","34","73.00","34","83.00","43.00","83.00",20
"2024-01-20","2024-02-07",NULL,"D_EW","JTEKTINDIA","26","170.00","26","164.00","132.00","164.00",19
"2024-01-20","2024-02-02",NULL,"D_EW","MUKANDLTD","41","188.00","41","198.00","164.00","198.00",19
"2024-01-20","2024-02-02",NULL,"D_EW","PNBGILTS","41","114.00","41","123.00","90.00","123.00",19
"2024-01-24","2024-02-07",NULL,"D_EW","AJMERA","4","572.00","4","711.00","326.00","711.00",15
"2024-01-24","2024-02-08",NULL,"D_EW","MAANALU","48","142.00","48","167.00","121.00","167.00",15
"2024-01-24","2024-01-30",NULL,"D_EW","MADHUCON","198","10.00","198","11.00","5.00","11.00",15
"2024-01-25","2024-01-31",NULL,"D_EW","BCG","323","19.00","323","20.00","16.00","20.00",14
"2024-01-25","2024-01-31",NULL,"D_EW","IGARASHI","22","544.00","22","564.00","498.00","564.00",14
"2024-01-25","2024-02-05",NULL,"D_EW","MANINDS","8","368.00","8","452.00","239.00","452.00",14
"2024-01-25","2024-02-07",NULL,"D_EW","MENONBE","88","141.00","88","151.00","130.00","151.00",14
"2024-01-25","2024-02-06",NULL,"D_EW","SHAHALLOYS","34","79.00","34","84.00","50.00","84.00",14
"2024-01-25","2024-01-31",NULL,"D_EW","STARPAPER","19","254.00","19","280.00","200.00","280.00",14
"2024-01-29","2024-02-06",NULL,"D_EW","RSWM","60","218.00","60","236.00","201.00","236.00",10
"2024-01-29","2024-02-07",NULL,"D_EW","TAKE","92","29.00","92","35.00","18.00","35.00",10
"2024-01-29","2023-12-08",NULL,"D_EW","TFL","1000","12.00","1000","15.00","11.00","15.00",10
"2024-01-30","2024-02-07",NULL,"PR_EW","BHANDARI","282","9.00","282","12.00","5.00","12.00",9
"2024-01-31","2024-02-06",NULL,"PR_EW","APOLLO","58","124.00","58","135.00","107.00","135.00",8
"2023-11-30","2024-01-31",NULL,"W_EW","ARVIND","18","218.00","18","316.00","164.00","316.00",71
"2023-12-07","2024-02-07",NULL,"D_EW","CANFINHOME","10","826.00","10","850.00","721.00","850.00",64
"2023-12-29","2024-02-06",NULL,"D_EW","APOLLOTYRE","13","443.00","13","553.00","365.00","553.00",42
"2024-01-09","2024-02-07",NULL,"D_EW","63MOONS","14","462.00","14","480.00","392.00","480.00",31
"2024-01-09","2024-02-06",NULL,"D_EW","MHRIL","22","393.00","22","441.00","348.00","441.00",31
"2024-01-11","2024-01-23",NULL,"LR/PR/EW_DC","SSWL","57","274.00","57","287.00","257.00","287.00",29
"2024-01-11","2024-02-07",NULL,"ATR/PR/EW_W","UNIDT","28","299.00","28","316.00","264.00","316.00",29
"2024-01-12","2024-02-05",NULL,"ATR/EW_BW","ASHIANA","9","311.00","9","336.00","195.00","336.00",28
"2024-01-12","2024-02-08",NULL,"PR/LR/EW_W","BFUTILITIE","19","609.00","19","794.00","557.00","794.00",28
"2024-01-15","2024-02-05",NULL,"D_EW","BLISSGVS","52","132.00","52","125.00","113.00","125.00",25
"2024-01-15","2024-02-07",NULL,"D_EW","GENCON","153","43.00","153","63.00","36.00","63.00",25
"2024-01-15","2024-02-07",NULL,"D_EW","NOCIL","40","279.00","40","277.00","254.00","277.00",25
"2024-01-16","2024-02-05",NULL,"D_EW","BLISSGVS","56","131.00","56","125.00","113.00","125.00",24
"2024-01-16","2024-02-02",NULL,"D_EW","JASH","2","1760.00","2","1823.00","1290.00","1823.00",24
"2024-01-18","2024-02-08",NULL,"ATR/PR/EW_W","BIRLACABLE","48","284.00","48","329.00","263.00","329.00",22
"2024-01-18","2024-02-07",NULL,"ATR/EW_UC","PROZONER","114","40.00","114","44.00","31.00","44.00",22
"2024-01-19","2024-02-07",NULL,"ATR/PR/EW_DC","BLBLIMITED","139","27.00","139","39.00","20.00","39.00",21
