Ticker,Last Alert Date,Buy Price,Target,Call,Status
APOLLOHOSP.NS,2024-10-08,6796.53,,Long,Open
APOLLOPIPE.NS,2024-09-04,,654.0,Short,Close
APOLLOTYRE.NS,2024-09-27,,553.18,Short,Close
APOLSINHOT.NS,2024-10-10,,1982.49,Short,Close
APTECHT.NS,2024-08-27,,251.28,Short,Close
ARAVALIS.BO,2024-10-17,,5.04,Short,Close
ARCEEIN.BO,2024-10-15,,6.9,Short,Close
ARCFIN.BO,2024-10-18,1.96,,Long,Open
ARCHIDPLY.NS,2024-10-11,,140.03,Short,Close
ARCHIES.NS,2024-10-01,33.3,,Long,Open
ARCHITORG.BO,2024-10-11,,46.93,Short,Close
ARENTERP.NS,2024-08-09,,77.49,Short,Close
AREXMIS.BO,2024-10-21,,178.25,Short,Close
ARFIN.BO,2024-09-13,,42.35,Short,Close
ARIES.NS,2024-10-16,,268.86,Short,Close
ARIHANT.BO,2024-10-04,463.92,,Long,Open
ARIHANTSUP.NS,2024-10-01,,430.0,Short,Close
ARISE.BO,2024-10-21,,36.34,Short,Close
ARMANFIN.NS,2024-09-20,,1839.75,Short,Close
ARNOLD.BO,2024-10-18,,54.93,Short,Close
AROGRANITE.NS,2024-09-23,,60.68,Short,Close
ARROWGREEN.NS,2024-10-15,,827.25,Short,Close
ARSHIYA.NS,2024-08-30,,5.38,Short,Close
ARSSINFRA.NS,2024-10-14,,18.88,Short,Close
ARTEFACT.BO,2024-09-13,,81.95,Short,Close
ARTEMISMED.NS,2024-10-16,,288.04,Short,Close
ARTNIRMAN.NS,2024-08-08,,89.34,Short,Close
ARTSONEN.BO,2024-10-21,182.7,,Long,Open
ARUNAHTEL.BO,2024-09-12,,12.18,Short,Close
ARVEE.NS,2024-10-18,181.18,,Long,Open
ARVIND.NS,2024-08-21,,412.23,Short,Close
ARVINDFASN.NS,2024-10-15,,634.66,Short,Close
ARVSMART.NS,2024-10-16,,872.19,Short,Close
ARYAMAN.BO,2024-09-06,,421.69,Short,Close
ASAHIINDIA.NS,2024-09-23,,819.85,Short,Close
ASAHISONG.NS,2024-10-11,,480.5,Short,Close
ASAL.NS,2024-09-30,751.01,,Long,Open
ASALCBR.NS,2024-10-15,,981.91,Short,Close
ASHAI.BO,2024-10-15,,17.06,Short,Close
ASHAPURMIN.NS,2024-09-16,,322.58,Short,Close
ASHCAP.BO,2024-09-11,,5.23,Short,Close
ASHIANA.NS,2024-10-16,308.9,,Long,Open
ASHIMASYN.NS,2024-10-03,,36.85,Short,Close
ASHIS.BO,2024-09-27,,60.28,Short,Close
ASHISHPO.BO,2024-10-09,,64.01,Short,Close
ASHNOOR.BO,2024-10-17,,51.58,Short,Close
ASHOKA.NS,2024-10-14,,268.26,Short,Close
ASHOKLEY.NS,2024-08-27,,263.14,Short,Close
ASHRAM.BO,2024-10-18,5.45,,Long,Open
ASHSI.BO,2024-08-28,,40.56,Short,Close
ASIANENE.BO,2024-10-10,,402.7,Short,Close
ASIANHOTNR.NS,2024-10-11,204.13,,Long,Open
ASIANPAINT.NS,2024-09-17,,3337.88,Short,Close
ASIANTILES.NS,2024-09-25,,90.65,Short,Close
ASIANTNE.BO,2024-10-16,,16.13,Short,Close
ASIAPAK.BO,2024-10-17,71.98,,Long,Open
ASIIL.BO,2024-10-04,,56.19,Short,Close
ASINPET.BO,2024-09-23,,22.13,Short,Close
ASITCFIN.BO,2024-10-01,,173.09,Short,Close
ASMTEC.BO,2024-10-10,,1670.0,Short,Close
ASPINWALL.NS,2024-10-16,,289.35,Short,Close
ASPIRA.BO,2024-10-04,40.9,,Long,Open
ASTAR.BO,2024-09-23,,881.5,Short,Close
ASTEC.NS,2024-09-24,1223.06,,Long,Open
ASTERDM.NS,2024-08-12,389.45,,Long,Open
ASTRAL.NS,2024-09-26,,2022.42,Short,Close
ASTRAMICRO.NS,2024-10-11,,860.84,Short,Close
ASTRAZEN.NS,2024-10-09,,8021.0,Short,Close
ASTRON.NS,2024-08-30,,24.94,Short,Close
ASYL.BO,2024-10-11,,6.22,Short,Close
ATALREAL.NS,2024-10-07,8.21,,Long,Open
ATAM.BO,2024-08-19,,183.21,Short,Close
ATFL.NS,2024-10-21,,960.54,Short,Close
ATGL.NS,2024-06-07,,979.9,Short,Close
ATHARVENT.BO,2024-10-17,,2.9,Short,Close
ATHENAGLO.BO,2024-10-10,,100.75,Short,Close
ATISHAY.BO,2024-10-17,167.47,,Long,Open
ATLANTA.NS,2024-02-08,,25.39,Short,Close
ATUL.NS,2024-10-10,,8100.91,Short,Close
ATULAUTO.NS,2024-09-04,,710.58,Short,Close
ATVPR.BO,2024-10-18,,40.52,Short,Close
AUBANK.NS,2024-09-19,,747.8,Short,Close
AURIONPRO.NS,2024-10-11,,1735.75,Short,Close
AUROLAB.BO,2024-10-18,,249.74,Short,Close
AUROPHARMA.NS,2024-08-30,,1573.2,Short,Close
AUSOMENT.NS,2024-10-16,,169.92,Short,Close
AUSTENG.BO,2024-10-11,,225.48,Short,Close
AUTOAXLES.NS,2024-08-28,,2080.1,Short,Close
AUTOIND.NS,2024-09-16,,148.02,Short,Close
AVADHSUGAR.NS,2024-10-09,,783.26,Short,Close
AVAILFC.BO,2024-10-14,,366.81,Short,Close
AVANTEL.BO,2024-10-07,,196.29,Short,Close
AVANTIFEED.NS,2024-07-26,,714.81,Short,Close
AVG.NS,2024-10-16,,538.54,Short,Close
AVI.BO,2021-03-02,4.85,,Long,Open
AVIVA.BO,2024-08-26,23.97,,Long,Open
AVL.BO,2024-09-24,,529.45,Short,Close
AVONMORE.BO,2024-10-11,14.76,,Long,Open
AVROIND.NS,2024-09-25,,172.18,Short,Close
AVTNPL.NS,2024-08-20,,92.22,Short,Close
AWHCL.NS,2024-10-16,,825.97,Short,Close
AXELPOLY.BO,2024-10-18,61.87,,Long,Open
AXISBANK.NS,2024-10-18,1168.0,,Long,Open
AXISCADES.NS,2024-09-30,,593.45,Short,Close
AXITA.BO,2024-09-20,17.49,,Long,Open
AXTEL.BO,2024-10-03,447.06,,Long,Open
AYMSYNTEX.NS,2024-10-10,214.55,,Long,Open
B2BSOFT.BO,2024-10-11,,41.21,Short,Close
BABA.BO,2024-10-17,,13.66,Short,Close
BAFNAPH.NS,2024-09-27,,87.06,Short,Close
BAGFILMS.NS,2024-10-03,,12.75,Short,Close
BAJAJ-AUTO.NS,2024-09-27,,12718.4,Short,Close
BAJAJCON.NS,2024-07-18,,282.93,Short,Close
BAJAJELEC.NS,2024-09-19,,1021.0,Short,Close
BAJAJFINSV.NS,2024-09-27,,2014.0,Short,Close
BAJAJHCARE.BO,2024-10-22,,374.34,Short,Close
BAJAJHIND.NS,2024-10-01,,44.22,Short,Close
BAJAJHLDNG.NS,2024-10-11,,10855.0,Short,Close
