Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
SBICARD.NS,9/27/2024,786.30,31.00,0.00,54.00,31.00,887.55,867.11,846.67,1
SBRANDS.BO,9/26/2024,20.00,4.00,0.00,27.00,4.00,21.10,20.37,19.64,1
SBILIFE.NS,9/27/2024,1882.65,29.00,0.00,40.00,29.00,2251.54,2209.40,2167.25,1
SBISENSEX.BO,9/27/2024,936.62,226.00,0.00,252.00,226.00,941.59,908.38,875.18,1
SCANPGEOM.BO,9/27/2024,9.00,12.00,0.00,20.00,12.00,0.00,0.00,0.00,1
SCAGRO.BO,9/27/2024,15.01,3.00,0.00,35.00,3.00,15.56,15.06,14.56,1
SCHNEIDER.NS,9/27/2024,821.90,6.00,0.00,34.00,6.00,936.46,908.00,879.54,1
SCI.NS,9/27/2024,267.65,6.00,0.00,25.00,6.00,308.39,303.67,298.95,1
SDL.BO,9/26/2024,21.40,10.00,0.00,57.00,10.00,21.36,20.66,19.96,1
SEAMECLTD.NS,9/27/2024,1439.10,6.00,0.00,20.00,6.00,1524.41,1503.36,1482.30,1
SEATV.BO,9/27/2024,12.48,14.00,0.00,26.00,14.00,12.49,12.41,12.33,1
SEIL.BO,9/27/2024,197.90,12.00,0.00,14.00,12.00,199.73,191.96,184.18,1
SELAN.NS,9/27/2024,876.30,6.00,0.00,27.00,6.00,989.62,964.08,938.53,1
SEQUENT.NS,9/27/2024,217.28,37.00,0.00,51.00,37.00,209.13,194.37,179.61,1
SESHAPAPER.NS,9/27/2024,344.00,14.00,0.00,25.00,14.00,0.00,0.00,0.00,1
SETFBSE100.BO,9/27/2024,302.27,215.00,0.00,251.00,215.00,304.71,294.84,284.97,1
SFPIL.BO,9/23/2024,11.76,118.00,0.00,,118.00,,,,1
SHAHALLOYS.NS,9/27/2024,102.38,15.00,0.00,27.00,15.00,111.07,98.17,85.28,1
SHAILY.BO,9/27/2024,1029.25,12.00,0.00,20.00,12.00,1102.97,1063.34,1023.71,1
SHALBY.NS,9/27/2024,274.60,31.00,0.00,57.00,31.00,300.37,292.56,284.74,1
SHAHFOOD.BO,9/26/2024,232.85,32.00,0.00,36.00,32.00,242.17,235.73,229.29,1
SHANTAI.BO,9/26/2024,52.76,12.00,0.00,29.00,12.00,65.71,61.41,57.10,1
SHANTIGEAR.NS,9/27/2024,647.00,6.00,0.00,16.00,6.00,681.52,668.47,655.42,1
SHAREINDIA.NS,9/27/2024,329.65,14.00,0.00,27.00,14.00,354.64,340.43,326.22,1
SHARIABEES.BO,9/27/2024,599.28,110.00,0.00,150.00,110.00,636.03,617.54,599.05,1
SHASHIJIT.BO,9/27/2024,3.79,6.00,0.00,29.00,6.00,4.32,4.24,4.16,1
SHEMAROO.NS,9/27/2024,196.04,5.00,0.00,11.00,5.00,224.16,213.29,202.42,1
SHESHAINDS.BO,9/27/2024,13.23,3.00,0.00,15.00,3.00,14.87,14.77,14.66,1
SHHARICH.BO,9/27/2024,105.00,5.00,0.00,17.00,5.00,105.89,105.29,104.68,1
SHGANEL.BO,9/27/2024,32.12,19.00,0.00,26.00,19.00,0.00,0.00,0.00,1
SHILGRAVQ.BO,9/27/2024,170.50,6.00,0.00,11.00,6.00,0.00,0.00,0.00,1
SHIVALIK.BO,9/27/2024,590.00,3.00,0.00,24.00,3.00,612.64,593.04,573.45,1
SHK.NS,9/27/2024,300.14,4.00,0.00,9.00,4.00,380.90,369.48,358.05,1
SHRAJSYNQ.BO,9/27/2024,22.44,4.00,0.00,,4.00,,,,1
SHRDAIS.BO,9/27/2024,452.60,5.00,0.00,39.00,5.00,463.79,441.86,419.93,1
SHKARTP.BO,9/27/2024,12.89,8.00,0.00,19.00,8.00,16.40,14.92,13.44,1
SHREECEM.NS,9/27/2024,26247.90,34.00,0.00,62.00,34.00,26706.59,26061.92,25417.25,1
SHREMETAL.BO,9/27/2024,40.00,4.00,0.00,7.00,4.00,42.42,41.10,39.77,1
SHREYAS.NS,9/27/2024,340.25,8.00,0.00,35.00,8.00,418.49,397.86,377.23,1
SHUKRAPHAR.BO,9/27/2024,68.00,14.00,0.00,23.00,14.00,67.72,65.43,63.14,1
SHYAMMETL.BO,9/27/2024,908.80,22.00,0.00,23.00,22.00,982.38,949.20,916.01,1
SICALLOG.NS,9/9/2024,177.03,7.00,0.00,15.00,7.00,178.26,175.75,173.24,1
SIDDHA.BO,9/27/2024,9.80,38.00,0.00,59.00,38.00,10.38,9.95,9.51,1
SIELFNS.BO,9/27/2024,76.28,3.00,0.00,9.00,3.00,77.89,75.79,73.69,1
SIEMENS.NS,9/27/2024,7295.20,14.00,0.00,30.00,14.00,7328.57,7172.94,7017.30,1
SIKOZY.BO,9/27/2024,1.21,5.00,0.00,9.00,5.00,1.30,1.28,1.26,1
SIL.NS,9/27/2024,28.26,14.00,0.00,34.00,14.00,30.33,29.73,29.13,1
SILGO.NS,9/27/2024,42.77,4.00,0.00,7.00,4.00,0.00,0.00,0.00,1
SILINV.NS,9/27/2024,593.50,5.00,0.00,22.00,5.00,608.35,596.55,584.75,1
SILVOAK.BO,9/27/2024,118.27,12.00,0.00,20.00,12.00,125.70,121.32,116.93,1
SIMPLEXCAS.BO,9/27/2024,311.00,49.00,0.00,58.00,49.00,337.82,318.51,299.20,1
SIMPLXPAP.BO,9/27/2024,3050.00,8.00,0.00,14.00,8.00,3315.54,3249.11,3182.69,1
SIMPLXMIL.BO,9/27/2024,6960.00,49.00,0.00,55.00,49.00,6989.97,6426.70,5863.43,1
SIMPLXREA.BO,9/27/2024,222.00,10.00,0.00,22.00,10.00,233.58,227.19,220.81,1
SINTERCOM.NS,9/27/2024,163.29,33.00,0.00,64.00,33.00,159.10,145.14,131.18,1
SIRCA.NS,9/27/2024,342.55,18.00,0.00,50.00,18.00,376.43,363.10,349.78,1
SITAENT.BO,9/27/2024,68.00,4.00,0.00,9.00,4.00,69.28,68.56,67.84,1
SITINET.NS,9/27/2024,0.88,4.00,0.00,20.00,4.00,0.88,0.88,0.88,1
SKFINDIA.NS,9/27/2024,5410.20,31.00,0.00,71.00,31.00,0.00,0.00,0.00,1
SKIPPER.NS,9/27/2024,467.55,14.00,0.00,25.00,14.00,510.30,480.99,451.68,1
SKPMIL.BO,9/27/2024,42.99,8.00,0.00,19.00,8.00,48.49,46.57,44.65,1
SKPSEC.BO,9/27/2024,179.95,27.00,0.00,37.00,27.00,177.03,167.57,158.12,1
SKYIND.BO,9/27/2024,139.50,11.00,0.00,13.00,11.00,161.96,160.20,158.43,1
SMCGLOBAL.NS,9/27/2024,157.96,31.00,0.00,42.00,31.00,171.54,163.07,154.59,1
SMFIL.BO,9/27/2024,8.19,6.00,0.00,32.00,6.00,8.50,8.29,8.07,1
SMLT.BO,9/27/2024,181.25,6.00,0.00,20.00,6.00,210.27,195.51,180.75,1
SMIFS.BO,9/27/2024,97.00,33.00,0.00,38.00,33.00,108.71,97.92,87.13,1
SMRUTHIORG.BO,9/27/2024,146.00,20.00,0.00,61.00,20.00,0.00,0.00,0.00,1
SNOWMAN.NS,9/27/2024,84.69,31.00,0.00,35.00,31.00,90.24,86.07,81.89,1
SOLARA.NS,9/27/2024,807.35,6.00,0.00,10.00,6.00,840.90,827.23,813.56,1
SOLIDSTON.BO,9/27/2024,35.61,16.00,0.00,19.00,16.00,36.68,35.53,34.39,1
SOLARINDS.NS,9/27/2024,11735.85,31.00,0.00,43.00,31.00,11753.49,11377.22,11000.95,1
SOBHA.NS,9/27/2024,1967.55,14.00,0.00,58.00,14.00,2185.86,2115.89,2045.92,1
SONACOMS.BO,9/27/2024,734.00,30.00,0.00,51.00,30.00,775.77,754.02,732.27,1
SOURCENTRL.BO,9/27/2024,205.60,6.00,0.00,19.00,6.00,207.29,205.42,203.54,1
SOMATEX.NS,9/27/2024,39.61,37.00,0.00,40.00,37.00,38.06,37.10,36.15,1
SOUTLAT.BO,9/27/2024,31.61,10.00,0.00,32.00,10.00,35.36,34.30,33.23,1
SOVERDIA.BO,9/27/2024,54.55,6.00,0.00,7.00,6.00,62.64,58.83,55.02,1
SPECMKT.BO,9/26/2024,3.76,206.00,0.00,,206.00,,,,1
SPENCERS.NS,9/27/2024,106.73,7.00,0.00,12.00,7.00,130.41,128.55,126.69,1
SPENTA.BO,9/27/2024,132.90,4.00,0.00,12.00,4.00,136.03,131.58,127.13,1
SPENTEX.NS,9/26/2024,280.00,185.00,0.00,90.00,185.00,301.03,283.88,266.73,1
SPLIL.NS,9/27/2024,60.93,14.00,0.00,26.00,14.00,70.99,70.28,69.57,1
SPLPETRO.NS,9/27/2024,875.00,37.00,0.00,50.00,37.00,0.00,0.00,0.00,1
SPORTKING.BO,9/27/2024,114.00,3.00,0.00,11.00,3.00,127.88,124.83,121.79,1
SPTL.NS,9/26/2024,1.06,78.00,0.00,113.00,78.00,1.17,1.08,0.99,1
SPSINT.BO,9/26/2024,37.28,33.00,0.00,38.00,33.00,38.15,37.07,35.99,1
SPSL.BO,9/27/2024,22.85,48.00,0.00,53.00,48.00,25.44,24.08,22.73,1
SRECR.BO,9/27/2024,62.10,6.00,0.00,18.00,6.00,71.20,70.06,68.92,1
SRHHYPOLTD.NS,9/27/2024,750.10,6.00,0.00,23.00,6.00,786.97,762.88,738.79,1
SRIND.BO,9/26/2024,1.26,8.00,0.00,19.00,8.00,1.30,1.27,1.24,1
SRMCL.BO,9/27/2024,81.50,12.00,0.00,28.00,12.00,82.42,81.52,80.62,1
SSPDL.BO,9/27/2024,23.97,13.00,0.00,20.00,13.00,25.49,23.35,21.20,1
SSWRL.BO,9/27/2024,37.77,18.00,0.00,21.00,18.00,41.60,40.23,38.86,1
STANROS.BO,9/27/2024,86.00,26.00,0.00,42.00,26.00,91.22,87.30,83.38,1
STAR.NS,9/27/2024,1409.65,5.00,0.00,9.00,5.00,1453.63,1416.59,1379.54,1
STARLITE.BO,9/26/2024,3.64,33.00,0.00,48.00,33.00,3.96,3.71,3.47,1
STARTECK.BO,9/27/2024,268.00,7.00,0.00,12.00,7.00,0.00,0.00,0.00,1
STEELCITY.NS,9/27/2024,96.45,6.00,0.00,17.00,6.00,114.49,110.50,106.52,1
STEELCAS.BO,9/27/2024,809.10,6.00,0.00,10.00,6.00,824.59,794.38,764.17,1
STEL.NS,9/27/2024,586.50,10.00,0.00,13.00,10.00,588.58,574.82,561.06,1
STELLAR.BO,9/27/2024,6.49,34.00,0.00,40.00,34.00,6.47,6.20,5.94,1
STERTOOLS.NS,9/27/2024,585.15,14.00,0.00,23.00,14.00,660.45,631.42,602.38,1
