Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
STARPAPER.NS,2024-08-26,226,215.0,234.2,245.86,246.99,Short,Close
STARTECK.BO,2024-09-18,263,263.55,254.15,270.66,278.15,Long,Open
STCINDIA.NS,2024-09-13,172,120.0,185.3,191.55,194.99,Short,Close
STCORP.BO,2024-09-17,14,16.67,16.86,18.14,18.41,Short,Close
STDBAT.BO,2024-09-26,86,76.5,79.3,86.99,90.72,Long,Open
STDSFAC.BO,2024-10-01,75,51.88,74.71,76.42,79.7,Long,Open
STEELCAS.BO,2024-09-20,801,612.95,752.86,809.28,825.0,Long,Open
STEELCITY.NS,2024-09-20,96,85.09,97.75,106.84,105.0,Long,Open
STEELXIND.NS,2024-08-26,13,12.0,13.05,14.46,14.76,Short,Close
STEL.NS,2024-09-16,563,293.8,535.0,573.95,582.6,Long,Open
STELLAR.BO,2024-10-01,6,3.9,5.9,6.23,6.49,Long,Open
STEP2COR.BO,2024-09-24,34,28.51,29.27,37.18,38.5,Short,Close
STERTOOLS.NS,2024-09-23,571,355.05,496.5,626.0,639.85,Short,Close
STHINPA.BO,2024-09-11,99,68.6,101.86,104.65,105.5,Short,Close
STL.BO,2024-06-14,23,44.47,26.55,27.79,28.0,Short,Close
STLSTRINF.BO,2024-09-23,34,26.1,33.94,40.25,35.74,Long,Open
STLTECH.NS,2024-08-27,122,110.1,133.31,139.55,140.95,Short,Close
STOVACQ.BO,2024-09-27,3462,3019.0,3318.25,3552.73,3590.0,Long,Open
STOVEKRAFT.NS,2024-09-23,897,556.05,812.32,943.06,967.5,Short,Close
STRGRENWO.BO,2024-09-18,49,28.49,35.4,40.26,58.7,Long,Open
STRLGUA.BO,2024-08-12,41,16.05,31.41,31.5,31.41,Long,Open
STURDY.BO,2024-08-23,0,0.47,0.4,0.44,0.45,Short,Close
STYLAMIND.BO,2024-09-27,2117,1406.8,2008.26,2163.49,2260.6,Long,Open
STYRENIX.NS,2024-09-30,2617,2318.6,2406.11,2527.18,2583.95,Long,Open
SUBEXLTD.NS,2024-08-22,28,28.55,30.27,31.39,31.65,Short,Close
SUBROS.NS,2024-09-20,760,623.45,753.47,771.24,806.3,Long,Open
SUBSM.BO,2024-06-27,25,12.79,22.28,24.78,24.61,Long,Open
SUCROSA.BO,2024-09-23,17,11.7,15.46,17.66,18.0,Short,Close
SUDAI.BO,2024-09-23,63,41.71,56.23,59.69,58.42,Long,Open
SUDARSCHEM.NS,2024-09-12,1127,680.0,961.14,1052.51,1078.9,Long,Open
SUDTIND-B.BO,2024-09-30,21,12.31,19.27,19.03,23.29,Long,Open
SUGALDAM.BO,2024-09-04,74,23.41,44.87,48.69,50.68,Long,Open
SUJALA.BO,2024-07-23,34,17.55,34.61,38.99,36.57,Long,Open
SUKHJITS.BO,2024-09-23,568,401.05,551.88,600.94,619.0,Long,Open
SULABEN.BO,2024-09-20,6,4.51,5.33,5.82,6.36,Long,Open
SUMEDHA.BO,2024-10-01,57,53.01,54.8,63.75,66.0,Long,Open
SUMEETINDS.NS,2024-09-17,4,1.93,3.23,4.04,4.08,Long,Open
SUMERUIND.BO,2024-09-25,2,1.59,2.02,2.53,2.67,Long,Open
SUMICHEM.NS,2024-09-17,566,380.05,507.66,616.3,628.0,Short,Close
SUMIT.NS,2024-09-16,152,65.4,144.28,152.38,155.42,Long,Open
SUMMITSEC.NS,2024-09-24,2820,1155.0,2675.02,2709.7,2793.9,Long,Open
SUNCITYSY.BO,2024-09-13,23,3.8,25.17,4.0,26.62,Long,Open
SUNDARAM.NS,2024-07-12,3,2.05,3.29,3.65,3.95,Short,Close
SUNDARMFIN.NS,2024-09-12,5251,4048.0,4722.58,5081.92,5166.0,Long,Open
SUNDARMHLD.NS,2024-09-03,347,216.0,276.71,426.44,433.0,Short,Close
SUNDRMBRAK.NS,2024-09-10,999,651.55,814.0,1239.13,1260.0,Short,Close
SUNDRMFAST.NS,2024-08-13,1402,1124.2,1336.38,1448.42,1457.9,Long,Open
SUNFLAG.NS,2024-09-20,244,213.05,209.77,218.19,221.75,Long,Open
SUNGOLD.BO,2024-09-25,3,2.57,3.01,3.27,3.27,Short,Close
SUNILAGR.BO,2024-09-20,139,136.0,140.98,149.86,152.0,Short,Close
SUNILTX.BO,2024-09-12,62,61.05,69.3,84.0,88.0,Short,Close
SUNLOC.BO,2024-09-13,89,71.12,88.5,95.01,97.35,Short,Close
SUNPHARMA.NS,2024-06-24,1920,922.45,1482.01,1482.71,1529.85,Long,Open
SUNRAJDI.BO,2024-10-01,11,10.04,10.68,10.85,11.55,Long,Open
SUNSHIEL.BO,2024-09-16,940,730.2,926.62,1003.0,1015.0,Short,Close
SUNTECK.NS,2024-09-04,583,406.55,559.89,629.25,635.0,Long,Open
SUNTV.NS,2024-08-27,850,567.6,795.37,911.75,818.7,Long,Open
SUPER.BO,2024-09-03,1617,1212.0,1495.85,1697.59,1720.0,Long,Open
SUPERBAK.BO,2024-09-20,30,26.11,29.13,31.12,31.49,Short,Close
SUPERHOUSE.NS,2024-09-10,225,190.0,216.84,232.44,234.9,Long,Open
SUPERIOR.BO,2024-09-17,1,1.41,1.41,1.54,1.59,Short,Close
SUPERSPIN.NS,2024-09-25,12,7.76,13.01,13.73,13.73,Short,Close
SUPERTEX.BO,2024-09-11,11,9.1,11.14,12.1,13.89,Short,Close
SUPRAJIT.NS,2024-09-10,517,398.05,529.24,621.02,556.95,Long,Open
SUPREME.BO,2024-09-26,95,52.5,87.25,95.08,90.95,Long,Open
