Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Buy Price,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2000-01-01,AIIL.BO,,2024-10-21,,,1882.91,Short,Close,,2000-01-01,,,,India
2000-01-01,AIRAN.NS,,2024-10-28,,31.63,,Long,Open,,2000-01-01,,,,India
2000-01-01,AIROLAM.NS,,2024-10-25,,,130.68,Short,Close,,2000-01-01,,,,India
2000-01-01,AJANTPHARM.NS,,2024-10-30,,2952.7,,Long,Open,,2000-01-01,,,,India
2000-01-01,AJANTSOY.BO,,2024-10-28,,41.37,,Long,Open,,2000-01-01,,,,India
2000-01-01,AJCON.BO,,2024-10-30,,43.63,,Long,Open,,2000-01-01,,,,India
2000-01-01,AJEL.BO,,2024-10-29,,,17.13,Short,Close,,2000-01-01,,,,India
2000-01-01,AJMERA.NS,,2024-10-28,,841.54,,Long,Open,,2000-01-01,,,,India
2000-01-01,AJOONI.NS,,2024-10-29,,6.81,,Long,Open,,2000-01-01,,,,India
2000-01-01,AJWAFUN.BO,,2021-02-12,,6.83,,Long,Open,,2000-01-01,,,,India
2000-01-01,AKASH.NS,,2024-10-28,,33.32,,Long,Open,,2000-01-01,,,,India
2000-01-01,AKCAPIT.BO,,2024-10-24,,1046.58,,Long,Open,,2000-01-01,,,,India
2000-01-01,AKG.NS,,2024-09-18,,,22.13,Short,Close,,2000-01-01,,,,India
2000-01-01,AKI.BO,,2024-10-18,,19.28,,Long,Open,,2000-01-01,,,,India
2000-01-01,AKSHAR.BO,,2024-09-20,,1.66,,Long,Open,,2000-01-01,,,,India
2000-01-01,AKSHARCHEM.NS,,2024-10-11,,,324.77,Short,Close,,2000-01-01,,,,India
2000-01-01,AKSHOPTFBR.NS,,2024-10-22,,10.16,,Long,Open,,2000-01-01,,,,India
2000-01-01,AKSPINTEX.BO,,2024-10-01,,226.99,,Long,Open,,2000-01-01,,,,India
2024-10-31,AKZOINDIA.NS,ATR_W,2024-10-28,3620.0,3686.02,,Long,Open,4402.3,2024-11-01,15.146925174189644,,,India
2024-10-31,ALANKIT.NS,BB_W,2024-10-29,20.04,21.34,,Long,Open,22.41,2024-11-01,769.2307692307688,,,India
2024-10-31,ALBERTDAVD.NS,EW_DC,2024-10-31,1270.0,1377.46,,Long,Open,1386.05,2024-11-01,9.305788200260558,,,India
