Ticker,Last Alert Date,Buy Price,Target,Call,Status
ARVSMART.NS,2025-01-03,,920.19,Short,Close
ARYAMAN.BO,2025-01-10,,461.14,Short,Close
ARYAVAN.BO,2025-01-03,,55.0,Short,Close
ASAHIINDIA.NS,2024-12-11,,795.44,Short,Close
ASAHISONG.NS,2025-01-02,,392.84,Short,Close
ASAL.NS,2025-01-13,,609.7,Short,Close
ASALCBR.NS,2025-01-09,,1185.0,Short,Close
ASHAI.BO,2025-01-10,,13.75,Short,Close
ASHAPURMIN.NS,2025-01-08,,470.94,Short,Close
ASHCAP.BO,2025-01-09,4.77,,Long,Open
ASHIANA.NS,2025-01-08,,391.75,Short,Close
ASHIMASYN.NS,2025-01-07,,33.79,Short,Close
ASHIS.BO,2025-01-01,40.97,,Long,Open
ASHISHPO.BO,2024-12-26,,56.97,Short,Close
ASHNOOR.BO,2024-12-16,,79.52,Short,Close
ASHOKA.NS,2025-01-07,285.72,,Long,Open
ASHOKLEY.NS,2025-01-03,,235.46,Short,Close
ASHOKRE.BO,2024-10-23,10.96,,Long,Open
ASHRAM.BO,2024-12-31,,6.05,Short,Close
ASHSI.BO,2025-01-14,38.36,,Long,Open
ASHUTPM.BO,2024-12-20,,10.79,Short,Close
ASIANENE.BO,2025-01-07,,411.92,Short,Close
ASIANHOTNR.NS,2025-01-10,285.33,,Long,Open
ASIANPAINT.NS,2024-09-17,,3337.88,Short,Close
ASIANTILES.NS,2025-01-02,,71.97,Short,Close
ASIANTNE.BO,2024-12-17,,19.38,Short,Close
ASIAPAK.BO,2025-01-01,,93.04,Short,Close
ASIIL.BO,2025-01-07,47.31,,Long,Open
ASINPET.BO,2024-12-12,,17.5,Short,Close
ASITCFIN.BO,2024-12-31,143.04,,Long,Open
ASMTEC.BO,2025-01-03,,1467.0,Short,Close
ASPINWALL.NS,2025-01-09,,318.84,Short,Close
ASPIRA.BO,2024-12-30,59.39,,Long,Open
ASTAR.BO,2024-12-05,,854.8,Short,Close
ASTEC.NS,2025-01-07,,1246.76,Short,Close
ASTERDM.NS,2025-01-07,,531.61,Short,Close
ASTRAL.NS,2024-12-11,,1858.54,Short,Close
ASTRAMICRO.NS,2024-12-16,,860.96,Short,Close
ASTRAZEN.NS,2024-12-30,6633.06,,Long,Open
ASTRON.NS,2024-12-27,,23.07,Short,Close
ASYL.BO,2024-12-09,5.72,,Long,Open
ATALREAL.NS,2025-01-02,,14.1,Short,Close
ATAM.BO,2024-12-04,,149.95,Short,Close
ATFL.NS,2025-01-03,,962.76,Short,Close
ATGL.NS,2025-01-14,654.6,,Long,Open
ATHARVENT.BO,2024-12-20,3.89,,Long,Open
ATHENAGLO.BO,2024-12-12,,112.78,Short,Close
ATISHAY.BO,2025-01-01,212.61,,Long,Open
ATLANTA.NS,2024-02-08,,25.39,Short,Close
ATUL.NS,2024-11-07,,8051.5,Short,Close
ATULAUTO.NS,2024-12-05,,680.49,Short,Close
ATVPR.BO,2025-01-07,,47.79,Short,Close
AUBANK.NS,2024-12-27,549.08,,Long,Open
AURIONPRO.NS,2025-01-02,,1847.5,Short,Close
AUROLAB.BO,2024-12-20,,293.36,Short,Close
AUROPHARMA.NS,2025-01-01,,1348.41,Short,Close
AUSOMENT.NS,2024-12-13,,111.24,Short,Close
AUSTENG.BO,2024-12-03,,215.45,Short,Close
AUTOAXLES.NS,2024-12-06,,1843.42,Short,Close
AUTOIND.NS,2024-12-13,,123.9,Short,Close
AUTOPINS.BO,2024-11-21,209.0,,Long,Open
