Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target
2025-01-07,EW_DC,Long,TRANSFRE.BO,35,31.2,263.16,263.16,NaN,,NaN,NaN,KRBPT,33.83,2025-01-07,NaN
2025-01-14,EW_DC,Long,TRANSFRE.BO,34,30.1,256.41,256.41,NaN,,NaN,NaN,KRBPT,33.83,2025-01-14,NaN
2025-01-10,EW_DC,Long,TRINITYLEA.BO,14,12.7,769.23,769.23,NaN,,NaN,NaN,KRBPT,15,2025-01-10,NaN
2025-01-10,EW_BW,Long,TRIOMERC.BO,1,1,NaN,NaN,NaN,,NaN,NaN,KRBPT,1.12,2025-01-10,NaN
2025-01-01,EW_BW,Long,TRIVENIGQ.BO,21,17.5,285.71,285.71,NaN,,NaN,NaN,KRBPT,18.73,2025-01-01,NaN
2025-01-14,EW_DC,Long,TTML.NS,70,65.58,226.24,226.24,NaN,,NaN,NaN,KRBPT,69.65,2025-01-14,NaN
2025-01-13,EW_BW,Long,TUTIALKA.BO,96,83.1,77.52,77.52,NaN,,NaN,NaN,KRBPT,95.29,2025-01-13,NaN
2025-01-14,EWBB_W,Long,UCOBANK.NS,45,38.01,143.06,143.06,NaN,,NaN,NaN,KRBPT,45.27,2025-01-14,NaN
2025-01-14,EW_DC,Long,UNIQUEO.BO,172,158.85,76.05,76.05,NaN,,NaN,NaN,KRBPT,172.35,2025-01-14,NaN
2025-01-08,EWBB_W,Long,UNISHIRE.BO,3,2.55,2222.22,2222.22,NaN,,NaN,NaN,KRBPT,2.84,2025-01-08,NaN
2025-01-14,EW_BW,Long,UNISON.BO,26,22.71,303.95,303.95,NaN,,NaN,NaN,KRBPT,25.87,2025-01-14,NaN
2025-01-08,EW_W,Long,UNITDCR.BO,33,24.25,114.29,114.29,NaN,,NaN,NaN,KRBPT,31.42,2025-01-08,NaN
2025-01-14,EW_BW,Long,UNITEDINT.BO,98,93.6,227.27,227.27,NaN,,NaN,NaN,KRBPT,98.25,2025-01-14,NaN
2025-01-07,ATREW_UC,Long,UNITEDTEA.NS,560,384,5.68,5.68,NaN,,NaN,NaN,KRBPT,510,2025-01-07,NaN
2025-01-09,EW_BW,Long,UNITINT.BO,5,4.99,100000,100000,NaN,,NaN,NaN,KRBPT,5.25,2025-01-09,NaN
2025-01-14,EW_W,Long,UNIVARTS.BO,6,4.62,724.64,724.64,NaN,,NaN,NaN,KRBPT,6.42,2025-01-14,NaN
2025-01-14,ATR_W,Long,UNIVASTU.NS,327.95,232.85,10.52,10.52,NaN,,NaN,NaN,KRBPT,327.95,2025-01-14,NaN
2025-01-10,BB_W,Long,UNIVASTU.NS,284.15,232.85,19.49,19.49,NaN,,NaN,NaN,KRBPT,327.95,2025-01-10,NaN
2025-01-13,ATR_W,Long,UNIVASTU.NS,312.05,232.85,12.63,12.63,NaN,,NaN,NaN,KRBPT,327.95,2025-01-13,NaN
2025-01-14,EW_UC,Long,UNJHAFOR.BO,28,26.15,540.54,540.54,NaN,,NaN,NaN,KRBPT,28.48,2025-01-14,NaN
2025-01-14,EW_DC,Long,UNRYLMA.BO,20,17.67,429.18,429.18,NaN,,NaN,NaN,KRBPT,19.5,2025-01-14,NaN
2025-01-14,EW_DC,Long,VISHNU.NS,385,360.2,40.32,40.32,NaN,,NaN,NaN,KRBPT,384.9,2025-01-14,NaN
2025-01-10,EW_UC,Long,VISIONCO.BO,4,2.92,925.93,925.93,NaN,,NaN,NaN,KRBPT,3.65,2025-01-10,NaN
2025-01-14,EW_UC,Long,VRL.BO,289,266,43.48,43.48,NaN,,NaN,NaN,KRBPT,288.65,2025-01-14,NaN
2025-01-14,EW_DC,Long,VSSL.NS,229,216,76.92,76.92,NaN,,NaN,NaN,KRBPT,229.13,2025-01-14,NaN
2025-01-14,EW_BW,Long,WALCHPF.BO,169,154.25,67.8,67.8,NaN,,NaN,NaN,KRBPT,169.2,2025-01-14,NaN
2025-01-07,ATREW_W,Long,WELENT.NS,651,442.1,4.79,4.79,NaN,,NaN,NaN,KRBPT,605.45,2025-01-07,NaN
2025-01-14,EW_BW,Long,WHIRLPOOL.NS,1684,1580.1,9.62,9.62,NaN,,NaN,NaN,KRBPT,1683.7,2025-01-14,NaN
2025-01-10,EWBB_W,Long,WIREFABR.BO,220,201.4,53.76,53.76,NaN,,NaN,NaN,KRBPT,212.3,2025-01-10,NaN
2024-12-11,EW_UC,Long,WOMENNET.BO,8,NaN,NaN,NaN,NaN,,NaN,NaN,KRBPT,8.5,2024-12-11,NaN
2025-01-14,EW_UC,Long,WORTH.NS,159,116.52,23.54,23.54,NaN,,NaN,NaN,KRBPT,158.8,2025-01-14,NaN
2025-01-07,EW_W,Long,WWALUM.BO,27,24.51,401.61,401.61,NaN,,NaN,NaN,KRBPT,25,2025-01-07,NaN
2025-01-13,EW_DC,Long,WWALUM.BO,26,23.38,381.68,381.68,NaN,,NaN,NaN,KRBPT,25,2025-01-13,NaN
2025-01-07,EW_BW,Long,XTGLOBAL.BO,49,38.12,91.91,91.91,NaN,,NaN,NaN,KRBPT,43.34,2025-01-07,NaN
2025-01-14,EW_BW,Long,YAMNINV.BO,1,1.36,NaN,NaN,NaN,,NaN,NaN,KRBPT,1.47,2025-01-14,NaN
2025-01-14,EWBB_DC,Long,YARNSYN.BO,29,26.2,357.14,357.14,NaN,,NaN,NaN,KRBPT,28.79,2025-01-14,NaN
2025-01-03,EW_BW,Long,YOGISUNG.BO,10,9.21,1265.82,1265.82,NaN,,NaN,NaN,KRBPT,9.9,2025-01-03,NaN
2025-01-09,ATREW_W,Long,YUKEN.BO,1127,952,5.71,5.71,NaN,,NaN,NaN,KRBPT,998.55,2025-01-09,NaN
2025-01-03,EW_DC,Long,ZDHJERK.BO,21,18,333.33,333.33,NaN,,NaN,NaN,KRBPT,20.37,2025-01-03,NaN
2025-01-14,ATREW_UC,Long,ZOTA.NS,990,535,2.2,2.2,NaN,,NaN,NaN,KRBPT,989.5,2025-01-14,NaN
2025-01-07,ATR_DC,Long,ZYDUSLIFE.NS,1000.85,952.5,20.68,20.68,NaN,,NaN,NaN,KRBPT,1000.15,2025-01-07,NaN
2024-12-20,BB_W,Long,IYKOTHITE.BO,16.54,14.06,403.23,403.23,NaN,,NaN,NaN,KRBPT,18.11,2024-12-20,NaN
2024-11-27,BB_UC,Long,IZMO.NS,488,363.25,8,,NaN,,,,Googlesheet,474.4,2024-12-09,NaN
2024-11-29,EW_W,Long,ORIENTCEM.NS,NaN,320.65,NaN,NaN,NaN,,NaN,NaN,KRBPT,337.3,2024-12-09,NaN
2024-12-24,EW_DC,Long,ZMULTIPU.BO,11,9.3,588.24,588.24,NaN,,NaN,NaN,KRBPT,10.51,2024-12-24,NaN
2024-12-30,EW_DC,Long,SHYMINV.BO,11,10,1000,1000,NaN,,NaN,NaN,KRBPT,10.06,2024-12-30,NaN
2024-12-16,BB_UC,Long,4THGEN.BO,6.87,5.17,588.24,588.24,NaN,,NaN,NaN,KRBPT,6.87,2024-12-16,NaN
