Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL
AUTOAXLES.NS,5/3/2024,1790,1380.45,,2017.50,2033.00
AUTOAXLES.NS,5/13/2024,1790,1380.45,1867.80,,2033.00
AUTOAXLES.NS,5/27/2024,1790,1802.00,,2015.71,2035.95
AUTOAXLES.NS,6/6/2024,1790,1852.00,1932.84,,2038.40
AUTOAXLES.NS,6/18/2024,1790,1882.60,,2088.73,2122.00
AUTOAXLES.NS,7/2/2024,1790,1872.05,2047.48,,2123.00
AUTOAXLES.NS,7/9/2024,1790,1872.05,,2148.57,2214.00
AUTOAXLES.NS,7/22/2024,1790,2207.00,1986.25,,2214.00
AUTOAXLES.NS,7/29/2024,1790,2142.05,,2092.68,2100.95
AUTOAXLES.NS,8/16/2024,1790,2044.10,1877.18,,2119.95
AUTOAXLES.NS,8/28/2024,1790,2040.00,,2080.10,2105.00
AWHCL.NS,2/16/2024,792,241.00,502.24,510.71,579.10
AWHCL.NS,2/19/2024,792,241.00,501.23,506.98,579.10
AWHCL.NS,2/20/2024,792,241.00,,559.69,579.25
AWHCL.NS,3/18/2024,792,303.50,469.91,,481.65
AWHCL.NS,4/9/2024,792,275.00,,525.56,532.00
AWHCL.NS,6/13/2024,792,290.00,451.13,,463.50
AWHCL.NS,7/9/2024,792,244.55,,602.44,613.50
AWHCL.NS,7/15/2024,792,241.80,581.36,,620.40
AWHCL.NS,7/16/2024,792,241.80,,619.26,625.00
AWHCL.NS,7/22/2024,792,241.80,609.15,,699.00
AWHCL.NS,7/26/2024,792,247.50,,881.51,902.00
AWHCL.NS,9/13/2024,792,423.60,690.41,,729.90
AWHCL.NS,9/16/2024,792,468.70,,746.19,758.25
AWHCL.NS,9/20/2024,792,438.15,695.13,,770.00
AWHCL.NS,10/1/2024,792,438.15,,743.69,755.00
AWHCL.NS,10/7/2024,792,460.35,715.46,,761.85
AWHCL.NS,10/16/2024,792,407.95,,825.97,842.00
AWHCL.NS,10/28/2024,792,684.00,703.46,,846.20
AWHCL.NS,11/5/2024,792,667.10,,826.96,841.00
AVG.NS,2/29/2024,454,44.05,,627.51,668.40
AVG.NS,3/14/2024,454,54.80,513.07,,668.40
AVG.NS,3/15/2024,454,54.80,,594.51,615.00
AVG.NS,3/27/2024,454,51.10,553.29,,593.00
AVG.NS,4/3/2024,454,51.10,,617.01,635.00
AVG.NS,5/17/2024,454,59.00,535.11,,545.95
AVG.NS,5/21/2024,454,60.55,,537.63,545.95
AVG.NS,5/22/2024,454,53.10,522.59,,545.95
AVG.NS,5/28/2024,454,53.10,,555.13,559.70
AVG.NS,6/6/2024,454,53.10,439.24,,590.00
AVG.NS,6/12/2024,454,53.10,,524.80,560.00
AVG.NS,7/12/2024,454,152.95,485.75,,511.70
AVG.NS,7/16/2024,454,152.95,,510.64,517.50
AVG.NS,7/22/2024,454,152.95,467.36,,517.50
AVG.NS,7/31/2024,454,152.95,,515.76,520.00
AVG.NS,9/10/2024,454,250.95,460.00,,469.00
AVG.NS,9/12/2024,454,250.95,,478.25,481.00
AVG.NS,9/24/2024,454,250.95,435.66,,486.95
AVG.NS,10/16/2024,454,445.00,,538.54,549.00
AVG.NS,10/28/2024,454,413.85,475.25,,549.00
AVG.NS,10/30/2024,454,428.10,,506.92,515.00
AVONMORE.BO,2/16/2024,16,1.62,,11.84,12.10
AVONMORE.BO,3/5/2024,16,3.54,10.23,,12.90
AVONMORE.BO,3/6/2024,16,3.54,,10.84,10.99
AVONMORE.BO,3/18/2024,16,3.54,9.16,,10.99
AVONMORE.BO,3/22/2024,16,3.54,,9.55,10.99
AVONMORE.BO,4/1/2024,16,3.54,9.02,,9.75
AVONMORE.BO,4/8/2024,16,6.20,,10.83,10.98
AVONMORE.BO,4/16/2024,16,6.00,9.53,,10.98
AVONMORE.BO,5/21/2024,16,7.47,,13.83,14.07
AVONMORE.BO,6/7/2024,16,7.30,11.17,,13.20
AVONMORE.BO,6/28/2024,16,5.82,,13.52,13.80
AVONMORE.BO,7/3/2024,16,6.13,12.12,,13.80
AVONMORE.BO,7/16/2024,16,5.88,,14.49,14.64
AVONMORE.BO,7/24/2024,16,6.19,13.43,,14.90
AVONMORE.BO,7/31/2024,16,6.19,,16.51,16.70
AVONMORE.BO,8/22/2024,16,6.51,12.91,,16.70
AVONMORE.BO,9/19/2024,16,10.04,,17.45,17.99
AVONMORE.BO,10/11/2024,16,10.50,14.76,,17.99
AVONMORE.BO,10/21/2024,16,10.50,,16.76,16.84
AVONMORE.BO,10/30/2024,16,12.84,14.28,,16.84
AVROIND.NS,2/16/2024,155,11.29,134.95,138.85,152.95
AVROIND.NS,2/19/2024,155,11.29,134.91,137.54,152.95
AVROIND.NS,2/20/2024,155,11.29,135.85,138.55,152.95
AVROIND.NS,2/21/2024,155,11.61,134.51,137.44,152.95
AVROIND.NS,2/22/2024,155,11.61,132.59,134.76,152.95
AVROIND.NS,2/23/2024,155,11.61,,131.60,152.95
AVROIND.NS,2/26/2024,155,11.61,134.00,,152.60
AVROIND.NS,2/27/2024,155,11.61,148.73,163.48,170.85
AVROIND.NS,2/28/2024,155,11.61,145.95,149.65,170.85
AVROIND.NS,2/29/2024,155,11.61,,148.46,170.85
AVROIND.NS,4/2/2024,155,18.97,112.64,,115.90
AVROIND.NS,4/9/2024,155,18.97,,157.34,162.00
AVROIND.NS,4/24/2024,155,18.97,130.08,,162.00
AVROIND.NS,4/25/2024,155,18.97,,135.90,137.20
AVROIND.NS,5/10/2024,155,18.97,120.36,,137.50
AVROIND.NS,5/13/2024,155,18.97,121.85,125.55,137.50
AVROIND.NS,5/14/2024,155,18.97,,125.28,137.50
AVROIND.NS,5/15/2024,155,112.50,122.33,,137.50
AVROIND.NS,5/17/2024,155,112.50,,131.66,137.50
AVROIND.NS,6/7/2024,155,108.90,115.53,,137.50
AVROIND.NS,6/10/2024,155,115.30,,122.44,124.05
AVROIND.NS,7/26/2024,155,111.50,112.51,,117.00
AVROIND.NS,8/14/2024,155,104.00,,127.63,130.05
AVROIND.NS,8/20/2024,155,104.00,118.42,,130.05
AVROIND.NS,8/28/2024,155,94.00,,180.06,187.70
AVROIND.NS,8/29/2024,155,94.00,168.71,,187.70
AVROIND.NS,8/30/2024,155,94.00,164.45,172.02,187.70
AVROIND.NS,9/2/2024,155,94.00,,179.08,187.70
AVROIND.NS,9/12/2024,155,94.00,161.60,,188.88
AVROIND.NS,9/25/2024,155,103.40,,172.18,173.90
AVROIND.NS,10/29/2024,155,107.10,146.88,,151.90
AXELPOLY.BO,2/20/2024,63,12.35,,74.67,75.39
AXELPOLY.BO,3/4/2024,63,16.40,63.35,,75.39
AXELPOLY.BO,3/5/2024,63,16.40,,65.82,75.39
AXELPOLY.BO,3/18/2024,63,16.40,65.09,,67.70
AXELPOLY.BO,4/1/2024,63,43.25,,72.54,74.60
AXELPOLY.BO,4/9/2024,63,44.70,62.81,,74.60
AXELPOLY.BO,4/12/2024,63,44.70,,66.10,74.60
AXELPOLY.BO,4/18/2024,63,44.70,62.23,,74.60
AXELPOLY.BO,4/26/2024,63,43.15,,70.28,72.00
AXELPOLY.BO,5/2/2024,63,39.10,63.59,,72.00
AXELPOLY.BO,5/6/2024,63,37.55,,69.46,70.01
AXELPOLY.BO,5/9/2024,63,37.55,68.72,,72.85
AXELPOLY.BO,5/10/2024,63,37.15,,71.46,72.85
AXELPOLY.BO,5/17/2024,63,36.75,65.10,,72.85
AXELPOLY.BO,6/25/2024,63,41.05,,71.46,72.40
