Date/Time,Ticker,Alert,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Close,FromHigh,FromLow,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,S1,SCTR,SL,hh,ll,Buy,Current_Price,Quantity,P/L Percentage
2024-11-25,UVDRHOR.BO,0.0,,,BB,,,120.28,0.0,0.0,,3337.0,_UC,43.85,1874.0,0.0,-1.13,,120.28,92.41,BB_UC,120.27999877929688,36.0,-1.0148845411846261e-08
2024-11-25,VAKRANGEE.NS,0.0,,,,EW,,24.0,0.0,0.0,,3337.0,_DC,42.6,1916.0,0.0,-1.48,21.75,24.6,21.75,EW_DC,23.389999389648438,444.0,-0.02541669209798177
2024-11-25,VANICOM.BO,0.0,,,,EW,,14.0,1.0,9.0,,3337.0,_BW,71.22,961.0,0.0,10.51,12.63,15.6,12.63,EW_BW,13.90999984741211,730.0,-0.0064285823277064735
2024-11-25,VELJAN.BO,0.0,,,BB,,,1530.0,4.0,6.0,,3337.0,_W,22.63,2582.0,0.0,-8.6,,1560.0,1415.5,BB_W,1514.550048828125,9.0,-0.010098007301879085
2024-11-25,VGCL.BO,0.0,,,BB,,,67.16,0.0,4.0,,3337.0,_W,16.7,2780.0,0.0,-12.05,,69.0,63.05,BB_W,65.66999816894531,243.0,-0.022185852159837465
2024-11-25,VIJSOLX.BO,0.0,,,BB,,,1004.0,2.0,1.0,,3337.0,_DC,61.3,1292.0,0.0,5.48,,1040.0,800.0,BB_DC,981.1500244140625,5.0,-0.022758939826630978
2024-11-25,VIPULORG.BO,0.0,,,,EW,,258.0,6.0,6.0,,3337.0,_DC,81.03,634.0,0.0,18.28,241.85,259.4,241.85,EW_DC,254.0,62.0,-0.015503875968992248
2024-11-25,VIRINCHI.BO,0.0,,,,EW,,28.0,4.0,4.0,,3337.0,_DC,14.18,2864.0,0.0,-14.27,26.51,31.39,26.51,EW_DC,29.739999771118164,671.0,0.06214284896850586
2024-11-25,VISTAPH.BO,0.0,,,BB,EW,,12.0,0.0,1.0,,3337.0,_DC,32.31,2259.0,0.0,-5.11,10.78,13.3,10.78,EWBB_DC,12.050000190734863,820.0,0.0041666825612386065
2024-11-25,VLSFINANCE.NS,0.0,,,BB,,,386.75,3.0,4.0,,3337.0,_W,80.94,637.0,0.0,18.18,,428.7,363.85,BB_W,385.79998779296875,44.0,-0.0024563987253555268
2024-11-25,VOLTAMP.NS,0.0,,,BB,,,10170.65,3.0,5.0,,3337.0,_DC,13.73,2879.0,0.0,-14.95,,12024.95,9171.0,BB_DC,9914.849609375,1.0,-0.025150839978270775
2024-11-25,VSTIND.NS,0.0,,,BB,,,321.9,0.0,5.0,,3337.0,_W,21.34,2625.0,0.0,-9.34,,328.0,308.7,BB_W,322.1499938964844,76.0,0.000776619746767312
2024-11-25,WALCHANNAG.NS,0.0,,,,EW,,248.0,2.0,2.0,,3337.0,_BW,31.38,2290.0,0.0,-5.41,228.1,335.0,228.1,EW_BW,239.64999389648438,50.0,-0.03366937944965978
2024-11-25,WELENT.NS,0.0,,,,EW,,475.0,0.0,4.0,,3337.0,_DC,54.2,1529.0,0.0,2.82,442.1,478.55,442.1,EW_DC,472.5,30.0,-0.005263157894736842
2024-11-25,WELSPLSOL.BO,,,,,EW,,43.0,0.0,1.0,,3337.0,,6.59,3117.0,,,39.95,46.48,39.95,EW,41.9900016784668,328.0,-0.023488333058911702
2024-11-25,WHBRADY.BO,0.0,,,,EW,,1008.0,0.0,1.0,,3337.0,_DC,89.63,347.0,0.0,31.49,918.0,1151.0,918.0,EW_DC,984.4000244140625,11.0,-0.023412674192398314
2024-11-25,WHIRLPOOL.NS,0.0,,,BB,EW,,1834.0,0.0,1.0,,3337.0,_DC,43.02,1902.0,0.0,-1.35,1709.0,2122.9,1709.0,EWBB_DC,1789.449951171875,8.0,-0.024291193472260088
2024-11-25,WIPL.NS,0.0,,,,EW,,194.0,0.0,2.0,,3337.0,_UC,64.33,1191.0,0.0,6.67,180.45,205.0,180.45,EW_UC,194.27999877929688,74.0,0.0014432926767880155
2024-11-25,XPROINDIA.NS,0.0,,,BB,,,1170.0,1.0,1.0,,3337.0,_AT,71.07,966.0,0.0,10.38,,1190.0,1066.0,BB_AT,1215.0,10.0,0.038461538461538464
2024-11-25,YESBANK.NS,0.0,,,BB,,,19.61,3.0,6.0,,3337.0,_DC,21.22,2629.0,0.0,-9.39,,21.14,19.02,BB_DC,19.18000030517578,1695.0,-0.02192757240307079
2024-11-25,ZENITHSTL.NS,0.0,,,,EW,,9.0,3.0,5.0,,3337.0,_DC,59.35,1357.0,0.0,4.68,8.0,9.39,8.0,EW_DC,9.010000228881836,1000.0,0.0011111365424262153
2024-11-25,ZKHANDEN.BO,0.0,,,BB,EW,,87.0,1.0,1.0,,3337.0,_DC,77.67,746.0,0.0,15.56,79.31,110.0,79.31,EWBB_DC,87.47000122070312,130.0,0.005402312881645115
2024-11-25,ZOMATO.NS,0.0,,,BB,,,281.99,0.0,0.0,,3337.0,_W,83.45,553.0,0.0,21.54,,282.9,239.45,BB_W,273.30999755859375,24.0,-0.030781242034846126
