Date/Time,Ticker,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy,Current_Price,Quantity,P/L Percentage
2024-11-25,CHAMBLFERT.NS,,,,EW,,,479.0,,,3.0,4.0,,,,,3525.0,_W,100.0,1.0,454.0,,,531.95,443.2,,EW_W,500.25,28.0,0.044363256784968684
2024-11-25,CHEMBOND.NS,,,,,LR,,575.05,,,5.0,5.0,,,,,3525.0,_W,100.0,1.0,,,,630.0,526.0,,LR_W,568.0999755859375,20.0,-0.012085948028975663
2024-11-25,COCHINSHIP.NS,,,,EW,,,1364.0,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,1265.0,,,2979.45,1265.0,,EW_DC,1574.4000244140625,10.0,0.15425221731236255
2024-11-25,COFORGE.NS,,ATR,,,,ZZ,8611.6,0.0,27.0,0.0,0.0,7981.42,8340.07,8698.71,,3525.0,_UC,100.0,1.0,,22.0,22.0,8640.0,6710.05,,ATR_UC,8647.7998046875,1.0,0.004203609629743559
2024-11-25,COLINZ.BO,,,,EW,,,54.0,,,3.0,1.0,,,,,3525.0,_UC,100.0,1.0,52.0,,,68.5,49.03,,EW_UC,57.900001525878906,201.0,0.07222225047923901
2024-11-25,COMPINFO.NS,,,BB,,,,2.66,,,0.0,0.0,,,,,3525.0,_DC,100.0,1.0,,,,3.48,2.41,,BB_DC,,4000.0,
2024-11-25,CONTROLPR.NS,,,,EW,,,719.0,,,4.0,4.0,,,,,3525.0,_W,100.0,1.0,671.35,,,869.95,640.1,,EW_W,725.2000122070312,13.0,0.008623104599487135
2024-11-25,CORDSCABLE.NS,,,BB,,,ZZ,194.02,0.0,11.0,1.0,1.0,187.82,194.24,200.65,,3525.0,_DC,100.0,1.0,,4.0,4.0,237.5,180.8,,BB_DC,196.64999389648438,76.0,0.01355527211877314
2024-11-25,COUNCODOS.NS,,,,EW,,,6.0,,,1.0,1.0,,,,,3525.0,_DC,100.0,1.0,5.76,,,8.83,5.76,,EW_DC,6.320000171661377,4167.0,0.05333336194356283
2024-11-25,CPSEETF.BO,,,,EW,,,92.0,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,86.85,,,104.82,86.85,,EW_DC,91.95999908447266,194.0,-0.0004347925600798234
2024-11-25,CRESSAN.BO,,,,EW,,ZZ,8.0,0.0,14.0,1.0,1.0,7.48,7.55,7.62,,3525.0,_DC,100.0,1.0,6.79,3.0,3.0,15.46,6.79,,EW_DC,8.789999961853027,826.0,0.09874999523162842
2024-11-25,CROMPTON.NS,,,,,LR,ZZ,405.45,0.0,30.0,0.0,2.0,391.52,401.29,411.06,,3525.0,_DC,100.0,1.0,,5.0,5.0,408.75,369.8,,LR_DC,408.6000061035156,28.0,0.007769160447689324
2024-11-25,CSURGSU.BO,,,BB,,,,129.9,,,3.0,2.0,,,,,3525.0,_DC,100.0,1.0,,,,155.0,120.5,,BB_DC,128.9499969482422,106.0,-0.007313341430006298
2024-11-25,CUMMINSIND.NS,,ATR,,,,,3535.85,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,,,,3929.0,3244.25,,ATR_DC,3457.300048828125,3.0,-0.022215295097890157
2024-11-25,DCI.NS,,,,EW,,,337.0,,,1.0,1.0,,,,,3525.0,_DC,100.0,1.0,316.55,,,429.4,316.55,,EW_DC,333.95001220703125,49.0,-0.009050408881212908
2024-11-25,DECPO.BO,,,BB,,,ZZ,12.61,0.0,87.0,,0.0,10.78,11.35,11.92,,3525.0,_BW,100.0,1.0,,76.0,76.0,12.61,9.03,,BB_BW,,279.0,
2024-11-25,DELTAMAGNT.NS,,ATR,,,,ZZ,99.75,0.0,28.0,11.0,4.0,90.86,94.2,97.54,,3525.0,_UC,100.0,1.0,,17.0,17.0,113.1,85.8,,ATR_UC,104.80999755859375,72.0,0.05072679256735589
2024-11-25,DENORA.NS,,,BB,EW,,,1208.0,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,1138.75,,,2025.0,1138.75,,EWBB_DC,1261.3499755859375,14.0,0.044163887074451576
