Ticker,Last Alert Date,Buy Price,Target,Call,Status
AUBANK.NS,2024-09-19,,747.8,Short,Close
AURIONPRO.NS,2024-10-11,,1735.75,Short,Close
AUROLAB.BO,2024-10-30,221.83,,Long,Open
AUROPHARMA.NS,2024-08-30,,1573.2,Short,Close
AUSOMENT.NS,2024-10-25,,156.15,Short,Close
AUSTENG.BO,2024-10-11,,225.48,Short,Close
AUTOAXLES.NS,2024-08-28,,2080.1,Short,Close
AUTOIND.NS,2024-10-25,102.74,,Long,Open
AVADHSUGAR.NS,2024-10-29,595.57,,Long,Open
AVAILFC.BO,2024-10-29,314.44,,Long,Open
AVANTEL.BO,2024-10-07,,196.29,Short,Close
AVANTIFEED.NS,2024-10-28,549.03,,Long,Open
AVG.NS,2024-10-28,475.25,,Long,Open
AVIVA.BO,2024-08-26,23.97,,Long,Open
AVL.BO,2024-09-24,,529.45,Short,Close
AVONMORE.BO,2024-10-21,,16.76,Short,Close
AVROIND.NS,2024-10-29,146.88,,Long,Open
AVTNPL.NS,2024-08-20,,92.22,Short,Close
AWHCL.NS,2024-10-28,703.46,,Long,Open
AXELPOLY.BO,2024-10-25,59.99,,Long,Open
AXISBANK.NS,2024-10-18,1168.0,,Long,Open
AXISCADES.NS,2024-09-30,,593.45,Short,Close
AXITA.BO,2024-09-20,17.49,,Long,Open
AXTEL.BO,2024-10-03,447.06,,Long,Open
AYMSYNTEX.NS,2024-10-21,,245.7,Short,Close
B2BSOFT.BO,2024-10-11,,41.21,Short,Close
BABA.BO,2024-10-24,12.58,,Long,Open
BAFNAPH.NS,2024-09-27,,87.06,Short,Close
BAGFILMS.NS,2024-10-30,10.13,,Long,Open
BAJAJ-AUTO.NS,2024-09-27,,12718.4,Short,Close
BAJAJCON.NS,2024-07-18,,282.93,Short,Close
BAJAJELEC.NS,2024-09-19,,1021.0,Short,Close
BAJAJFINSV.NS,2024-09-27,,2014.0,Short,Close
BAJAJHCARE.BO,2024-10-29,353.23,,Long,Open
BAJAJHIND.NS,2024-10-01,,44.22,Short,Close
BAJAJHLDNG.NS,2024-10-11,,10855.0,Short,Close
BAJAJST.BO,2024-10-30,3017.91,,Long,Open
BAJFINANCE.NS,2024-10-23,6725.46,,Long,Open
BALAJITELE.NS,2024-10-30,60.37,,Long,Open
BALAMINES.NS,2024-10-30,2058.46,,Long,Open
BALAXI.NS,2024-09-17,,113.74,Short,Close
BALKRISHNA.NS,2024-10-28,23.07,,Long,Open
BALKRISIND.NS,2024-10-10,,3056.25,Short,Close
BALMLAWRIE.NS,2024-10-28,221.01,,Long,Open
BALPHARMA.NS,2024-10-28,111.35,,Long,Open
BALRAMCHIN.NS,2024-10-24,611.99,,Long,Open
BALTE.BO,2024-10-28,29.73,,Long,Open
BALUFORGE.BO,2024-10-28,694.04,,Long,Open
BAMBINO.BO,2024-09-10,,437.61,Short,Close
BANARBEADS.NS,2024-10-24,122.24,,Long,Open
BANARISUG.NS,2024-10-15,,3887.75,Short,Close
BANASFN.BO,2024-10-30,9.63,,Long,Open
BANCOINDIA.NS,2024-10-29,667.94,,Long,Open
BANDHANBNK.NS,2024-10-28,176.79,,Long,Open
BANG.NS,2024-10-24,52.53,,Long,Open
BANKA.NS,2024-10-18,131.42,,Long,Open
BANKBARODA.NS,2024-10-28,243.32,,Long,Open
BANKBEES.BO,2024-09-26,,557.23,Short,Close
BANKINDIA.NS,2024-10-30,103.84,,Long,Open
