Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Close,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2024-10-30,INDRANIB.BO,BB_DC,2024-10-29,35.0,40.94,,Long,Open,,2000-01-01,168.35,,,India
2024-10-30,INDXTRA.BO,EW_DC,2024-10-30,4.53,6.0,,Long,Open,,2000-01-01,680.27,,,India
2024-10-30,INFIBEAM.NS,BB_DC,2024-10-28,26.13,28.06,,Long,Open,27.63,2024-11-12,518.13,,,India
2024-10-30,INSECTICID.NS,BB_DC,2024-10-29,750.0,821.75,,Long,Open,793.5,2024-11-12,13.94,,,India
2024-10-30,INTSTOIL.BO,BB_DC,2024-11-04,41.01,44.97,48.38,Short,Close,,2000-01-01,252.53,,,India
2024-10-30,IOLCP.NS,EW_DC,2024-10-30,371.5,399.0,,Long,Open,388.05,2024-11-12,36.36,,,India
2024-10-30,IRB.NS,EW_DC,2024-09-23,50.06,54.0,63.88,Short,Closed,50.63,2024-11-12,253.81,Target Hit,63.88,India
2024-10-30,IRFC.NS,ATR_DC,2024-11-01,132.8,155.55,155.96,Short,Closed,146.54,2024-11-12,43.96,Target Hit,155.96,India
2024-10-30,ISTRNETWK.BO,ATR_UC,2021-04-20,1.01,3.1,,Long,Open,,2000-01-01,478.47,,,India
2024-10-30,ISWL.BO,ATR_UC,2024-11-06,5.29,5.78,,Long,Open,,2000-01-01,2040.82,,,India
2024-10-30,ITDCEM.NS,EW_BW,2024-10-30,491.1,561.0,,Long,Open,528.4,2024-11-12,14.31,,,India
2024-10-30,IZMO.NS,ATREW_W,2024-10-30,338.4,369.0,,Long,Open,390.7,2024-11-12,32.68,,,India
2024-10-30,JAGSNPHARM.NS,ATREWBB_UC,2024-10-30,437.95,522.0,,Long,Open,570.6,2024-11-12,11.9,,,India
2024-10-30,JAIBALAJI.NS,EW_W,2024-10-30,975.0,1057.0,,Long,Open,1014.6,2024-11-12,12.2,,,India
2024-10-30,JAYBHCR.BO,EWBB_W,2024-10-30,8.98,10.0,,Long,Open,,2000-01-01,980.39,,,India
2024-10-30,JINDRILL.NS,ATR_BW,2024-10-29,570.1,671.4,,Long,Open,726.7,2024-11-12,9.87,,,India
2024-10-30,JINDWORLD.NS,EW_DC,2024-10-30,273.45,303.0,,Long,Open,298.05,2024-11-12,33.84,,,India
2024-10-30,JISLJALEQS.NS,EWBB_DC,2024-10-30,52.03,61.0,,Long,Open,67.51,2024-11-12,111.48,,,India
2024-10-30,JITFINFRA.NS,ATR_DC,2024-10-29,680.2,777.7,,Long,Open,810.0,2024-11-12,10.26,,,India
2024-10-30,JLL.BO,BB_DC,2024-10-28,40.25,44.5,,Long,Open,47.0,2024-11-12,235.29,,,India
2024-10-30,JOCIL.NS,EWBB_DC,2024-10-30,180.34,200.0,,Long,Open,205.24,2024-11-12,50.86,,,India
2024-10-30,JYOTI.BO,EW_UC,2024-10-30,102.99,114.0,,Long,Open,,2000-01-01,90.83,,,India
2024-10-30,KABSON.BO,BB_DC,2024-10-29,33.47,38.02,,Long,Open,,2000-01-01,219.78,,,India
2024-10-30,KAMADGIRI.BO,BB_DC,2024-11-08,97.1,97.2,,Long,Open,,2000-01-01,10000.0,,,India
2024-10-30,KAMDHENU.NS,EW_DC,2024-10-30,435.5,483.0,,Long,Open,490.05,2024-11-12,21.05,,,India
2024-10-30,KARMAENG.NS,EW_W,2024-10-30,66.01,71.0,,Long,Open,73.75,2024-11-12,200.4,,,India
2024-10-30,KENNAMET.BO,EW_DC,2024-10-30,2821.0,3043.0,,Long,Open,,2000-01-01,4.5,,,India
2024-10-30,KERNEX.NS,LR_W,2024-10-28,687.2,751.05,,Long,Open,808.5,2024-11-12,15.66,,,India
2024-10-30,KESARENT.BO,EWLR_DC,2024-11-01,130.3,151.0,158.0,Short,Close,,2000-01-01,48.31,,,India
2024-10-30,KHANDSE.NS,EWBBLR_DC,2024-11-04,26.1,30.0,,Long,Open,29.72,2024-11-12,256.41,,,India
2024-10-30,KILITCH.NS,EW_UC,2024-09-13,300.1,327.0,399.36,Short,Closed,303.45,2024-11-12,37.17,Target Hit,399.36,India
2024-10-30,KIRLOSIND.NS,EW_DC,2024-10-30,4399.9,4821.0,,Long,Open,4887.85,2024-11-12,2.37,,,India
2024-10-30,KITEX.NS,BB_DC,2024-10-24,460.8,556.3,,Long,Open,608.5,2024-11-12,10.47,,,India
2024-10-30,KJMCFIN.BO,ATREW_BW,2024-10-30,72.0,88.0,,Long,Open,,2000-01-01,62.5,,,India
2024-10-30,KMCSHIL.BO,EW_DC,2024-10-30,71.1,80.0,,Long,Open,,2000-01-01,112.36,,,India
2024-10-30,KOTHARIPET.NS,EW_BW,2024-11-01,198.0,218.0,223.64,Short,Closed,194.06,2024-11-12,50.0,ISL Hit,198.0,India
2024-10-30,KPEL.BO,EW_BW,2024-11-05,502.75,566.0,628.83,Short,Closed,539.5,2024-11-12,15.81,Target Hit,628.83,India
2024-10-30,KPIL.NS,EW_DC,2024-11-01,1156.5,1261.0,1308.11,Short,Close,,2000-01-01,9.57,,,India
2024-10-30,KRIDHANINF.NS,EW_BW,2024-10-30,3.9,4.0,,Long,Open,4.28,2024-11-12,10000.0,,,India
2024-10-30,KSHITIJPOL.NS,EW_W,2024-11-05,5.67,6.0,6.38,Short,Closed,5.02,2024-11-12,3030.3,ISL Hit,5.67,India
2024-10-30,KUSHIND.BO,EW_W,2024-11-01,7.56,8.0,9.13,Short,Close,,2000-01-01,2272.73,,,India
2024-10-30,LAMBODHARA.NS,EW_DC,2024-10-30,135.43,150.0,,Long,Open,147.7,2024-11-12,68.63,,,India
2024-10-30,LAXMICOT.NS,EW_DC,2024-10-30,30.76,33.0,,Long,Open,33.85,2024-11-12,446.43,,,India
2024-10-30,LGBBROSLTD.NS,EW_DC,2024-10-30,1232.95,1318.0,,Long,Open,1274.2,2024-11-12,11.76,,,India
2024-10-30,LIBAS.NS,BB_DC,2024-10-29,15.3,17.22,,Long,Open,16.44,2024-11-12,520.83,,,India
2024-10-30,LICHSGFIN.NS,LR_DC,2024-10-28,580.15,633.0,,Long,Open,621.3,2024-11-12,18.92,,,India
2024-10-30,LIKHITHA.NS,EWBB_DC,2024-10-30,338.0,363.0,,Long,Open,361.5,2024-11-12,40.0,,,India
2024-10-30,LTFOODS.NS,EW_DC,2024-10-30,338.0,379.0,,Long,Open,,2000-01-01,24.39,,,India
2024-10-30,LUMAXTECH.NS,ATREW_DC,2024-10-30,469.75,526.0,,Long,Open,510.25,2024-11-12,17.78,,,India
2024-10-30,LUXIND.NS,EW_DC,2024-10-30,1806.0,1966.0,,Long,Open,1862.65,2024-11-12,6.25,,,India
2024-10-30,LWSKNIT.BO,ATREWBB_W,2024-11-07,38.51,43.0,47.06,Short,Closed,45.0,2024-11-12,222.72,Target Hit,47.06,India
2024-10-30,LYPSAGEMS.NS,EW_DC,2024-10-30,6.81,7.0,,Long,Open,7.45,2024-11-12,5263.16,,,India
2024-10-30,MADHAV.NS,ATREW_DC,2024-10-30,45.99,51.0,,Long,Open,50.18,2024-11-12,199.6,,,India
2024-10-30,MADHAVIPL.BO,EW_DC,2024-11-04,13.7,15.0,16.81,Short,Closed,15.07,2024-11-12,769.23,Target Hit,16.81,India
2024-10-30,MAINFRA.BO,BB_DC,2024-10-07,21.9,23.95,33.34,Short,Closed,21.51,2024-11-12,487.8,ISL Hit,21.9,India
2024-10-30,MANALIPETC.NS,EW_DC,2024-11-01,63.07,71.0,71.7,Short,Closed,63.64,2024-11-12,126.1,Target Hit,71.7,India
2024-10-30,MANGIND.BO,BB_DC,2024-11-01,2.71,3.5,4.38,Short,Closed,3.6,2024-11-12,1265.82,Target Hit,4.38,India
2024-10-30,MANGLMCEM.NS,BB_W,2024-10-30,779.75,835.95,,Long,Open,848.05,2024-11-12,17.79,,,India
2024-10-30,MANINFRA.NS,ATRBB_DC,2024-10-29,173.5,191.32,,Long,Open,184.7,2024-11-12,56.12,,,India
2024-10-30,MANUGRAPH.NS,EWBB_DC,2024-11-07,20.61,22.0,25.38,Short,Closed,24.38,2024-11-12,719.42,Target Hit,25.38,India
2024-10-30,MARINE.NS,EW_DC,2024-10-30,185.1,207.0,,Long,Open,229.11,2024-11-12,45.66,,,India
2024-10-30,MAXHEIGHTS.BO,EWBB_W,2024-10-30,24.32,26.0,,Long,Open,26.7,2024-11-12,595.24,,,India
2024-10-30,MCLEODRUSS.NS,BB_DC,2024-10-28,26.28,28.89,,Long,Open,31.14,2024-11-12,383.14,,,India
2024-10-30,MEDICAMEQ.BO,ATR_BW,2024-11-01,475.3,546.3,549.75,Short,Closed,485.75,2024-11-12,14.08,Target Hit,549.75,India
2024-10-30,MEHIF.BO,BB_DC,2024-11-07,27.71,31.5,,Long,Open,,2000-01-01,263.85,,,India
2024-10-30,MERCANTILE.BO,EW_W,2024-10-30,23.56,25.0,,Long,Open,25.15,2024-11-12,694.44,,,India
2024-10-30,MINDACORP.NS,EW_BW,2024-10-30,469.05,506.0,,Long,Open,489.5,2024-11-12,27.06,,,India
2024-10-30,MKPL.NS,EW_BW,2024-10-30,7.91,9.0,,Long,Open,8.8,2024-11-12,917.43,,,India
2024-10-30,MMTC.NS,EW_DC,2024-10-30,72.16,79.0,,Long,Open,80.44,2024-11-12,146.2,,,India
2024-10-30,MOLDTECH.NS,BB_DC,2024-10-30,198.61,211.77,,Long,Open,212.87,2024-11-12,75.99,,,India
2024-10-30,MONGIPA.BO,BB_DC,2024-10-24,49.83,56.71,,Long,Open,,2000-01-01,145.35,,,India
2024-10-30,MORARKFI.BO,LR_W,2024-10-28,145.2,160.05,,Long,Open,,2000-01-01,67.34,,,India
2024-10-30,MSPL.NS,EW_DC,2024-11-06,38.87,42.0,48.88,Short,Closed,44.2,2024-11-12,319.49,Target Hit,48.88,India
2024-10-30,MUKESHB.BO,EWBB_W,2024-11-07,130.6,139.0,,Long,Open,155.05,2024-11-12,119.05,,,India
2024-10-30,MUTHOOTFIN.NS,LR_BW,2024-09-27,1890.05,1968.5,2060.4,Short,Closed,1799.65,2024-11-12,12.75,ISL Hit,1890.05,India
2024-10-30,MYSTICELE.BO,BB_DC,2024-10-29,4.34,4.98,,Long,Open,6.28,2024-11-12,1562.5,,,India
2024-10-30,NAGREEKEXP.NS,EW_DC,2024-10-30,32.89,36.0,,Long,Open,36.55,2024-11-12,321.54,,,India
2024-10-30,NARBADA.BO,BB_DC,2024-11-01,62.5,72.93,76.38,Short,Close,,2000-01-01,95.88,,,India
2024-10-30,NARPROP.BO,BB_DC,2024-10-29,40.3,43.96,,Long,Open,44.88,2024-11-12,273.22,,,India
2024-10-30,NATCOPHARM.NS,BB_DC,2024-10-29,1282.55,1382.6,,Long,Open,1410.85,2024-11-12,10.0,,,India
2024-10-30,NATPLASTI.BO,BB_DC,2024-11-06,350.1,373.6,,Long,Open,384.8,2024-11-12,42.55,,,India
2024-10-30,NAVA.NS,EW_DC,2024-11-06,864.0,944.0,1014.06,Short,Close,,2000-01-01,12.5,,,India
2024-10-30,NAVKARCORP.NS,ATR_BW,2024-10-28,108.65,133.51,,Long,Open,133.0,2024-11-12,40.23,,,India
2024-10-30,NAVNETEDUL.NS,BB_DC,2024-10-31,132.0,140.54,,Long,Open,136.75,2024-11-12,117.1,,,India
2024-10-30,NEELKAN.BO,EW_DC,2024-11-05,13.13,14.0,15.32,Short,Closed,15.25,2024-11-12,1149.43,Target Hit,15.32,India
2024-10-30,NELCO.NS,EW_DC,2024-10-30,840.0,910.0,,Long,Open,918.2,2024-11-12,14.29,,,India
2024-10-30,NETLINK.BO,EW_DC,2024-11-05,132.0,143.0,,Long,Open,,2000-01-01,90.91,,,India
