Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Close,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2024-11-27,NAHARCAP.NS,ATRBB_W,2024-11-14,301.0,370.2,,Long,Open,370.2,2024-11-27,14.45,,,India
2024-11-27,NAHARINDUS.NS,ATRBBLR_DC,2024-11-19,125.05,139.34,,Long,Open,139.34,2024-11-27,69.98,,,India
2024-11-27,NARBADA.BO,LR_DC,2024-11-22,55.15,66.0,,Long,Open,66.0,2024-11-27,92.17,,,India
2024-11-27,NDRAUTO.NS,ATRLR_DC,2024-11-22,626.05,734.6,,Long,Open,734.6,2024-11-27,9.21,,,India
2024-11-27,NDTV.NS,EWBB_DC,2024-11-27,143.6,180.0,,Long,Open,179.67,2024-11-27,27.47,,,India
2024-11-27,NEIL.BO,EW_DC,2024-11-27,12.03,13.0,,Long,Open,13.42,2024-11-27,1030.93,,,India
2024-11-27,NHPC.NS,BB_DC,2024-11-14,76.41,82.97,,Long,Open,82.97,2024-11-27,152.44,,,India
2024-11-27,NICCOPAR.BO,EW_DC,2024-11-27,123.3,134.0,,Long,Open,134.0,2024-11-27,93.46,,,India
2024-11-27,NILAINFRA.NS,ATR_BW,2024-11-26,10.35,12.3,,Long,Open,12.3,2024-11-27,512.82,,,India
2024-11-27,NIYOGIN.BO,BB_UC,2024-11-25,50.61,69.4,,Long,Open,69.4,2024-11-27,53.22,,,India
2024-11-27,NOL.BO,EW_BW,2024-11-27,114.9,126.0,,Long,Open,126.0,2024-11-27,90.09,,,India
2024-11-27,NPRFIN.BO,BB_DC,2024-11-05,25.88,29.13,34.1,Short,Closed,29.13,2024-11-27,307.69,Target Hit,34.1,India
2024-11-27,NRAIL.NS,BB_W,2024-11-21,325.0,354.5,,Long,Open,354.5,2024-11-27,33.9,,,India
2024-11-27,NURECA.NS,LR_DC,2024-11-01,264.2,280.5,301.4,Short,Closed,280.5,2024-11-27,61.35,Target Hit,301.4,India
2024-11-27,OLECTRA.NS,EW_BW,2024-11-27,1384.05,1575.0,,Long,Open,1574.55,2024-11-27,5.24,,,India
2024-11-27,OMAXAUTO.NS,ATREW_DC,2024-11-27,105.85,119.0,,Long,Open,118.95,2024-11-27,76.05,,,India
2024-11-27,ONWARDTEC.NS,EW_DC,2024-11-27,303.9,327.0,,Long,Open,326.65,2024-11-27,43.29,,,India
2024-11-27,OPTIEMUS.NS,LR_DC,2024-11-21,576.0,674.0,,Long,Open,674.0,2024-11-27,10.2,,,India
2024-11-27,ORIENTCER.NS,EW_BW,2024-11-27,38.75,43.0,,Long,Open,42.59,2024-11-27,235.29,,,India
2024-11-27,OSWALSEEDS.NS,EW_DC,2024-11-27,19.1,21.0,,Long,Open,20.81,2024-11-27,526.32,,,India
2024-11-27,PANSARI.NS,EW_W,2024-11-27,163.18,180.0,,Long,Open,179.78,2024-11-27,59.45,,,India
2024-11-27,PARAGONF.BO,ATR_DC,2024-11-19,56.48,69.85,,Long,Open,69.85,2024-11-27,74.79,,,India
2024-11-27,PARMAX.BO,EW_DC,2024-11-27,43.7,48.0,,Long,Open,47.5,2024-11-27,232.56,,,India
2024-11-27,PARMCOS-B.BO,EW_UC,2024-11-27,45.05,49.0,,Long,Open,49.0,2024-11-27,253.16,,,India
2024-11-27,PBMPOLY.BO,EW_W,2024-11-27,78.25,84.0,,Long,Open,83.8,2024-11-27,173.91,,,India
2024-11-27,PCBL.NS,LR_DC,2024-11-22,381.55,430.2,,Long,Open,430.2,2024-11-27,20.55,,,India
2024-11-27,PEARLPOLY.NS,ATR_BW,2024-11-25,32.93,37.0,,Long,Open,37.0,2024-11-27,245.7,,,India
2024-11-27,PFIZER.NS,LR_DC,2024-11-01,5100.0,5318.85,,Long,Open,5318.85,2024-11-27,4.57,,,India
