Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
GODREJAGRO.NS,12/5/2024,766.40,14.00,0.00,35.00,14.00,779.44,767.52,755.60,1
GOACARBON.NS,12/5/2024,707.25,9.00,0.00,18.00,9.00,735.06,718.45,701.84,1
GNFC.NS,12/5/2024,635.00,13.00,0.00,18.00,13.00,687.21,667.83,648.45,1
GOCLCORP.NS,12/5/2024,403.00,7.00,0.00,17.00,7.00,410.62,404.03,397.43,1
GODHA.NS,12/5/2024,1.00,3.00,0.00,9.00,3.00,1.03,1.01,0.99,1
GODREJCP.NS,12/5/2024,1244.75,13.00,0.00,57.00,13.00,0.00,0.00,0.00,1
GOGIACAP.BO,12/5/2024,109.20,20.00,0.00,38.00,20.00,119.14,115.34,111.55,1
GOENKA.NS,12/5/2024,1.18,3.00,0.00,8.00,3.00,1.22,1.18,1.13,1
GOKULAGRO.NS,12/5/2024,334.40,10.00,0.00,12.00,10.00,368.51,365.01,361.52,1
GOKUL.NS,12/5/2024,60.41,4.00,0.00,18.00,4.00,62.69,61.12,59.54,1
GOKEX.NS,12/5/2024,970.25,14.00,0.00,18.00,14.00,1001.47,982.62,963.78,1
GOLCA.BO,12/4/2024,13.49,7.00,0.00,37.00,7.00,13.85,13.49,13.13,1
GODREJIND.NS,12/5/2024,1079.60,14.00,0.00,47.00,14.00,1214.20,1181.39,1148.58,1
GOLDENTOBC.NS,12/5/2024,39.50,7.00,0.00,19.00,7.00,43.82,43.15,42.47,1
GOLECHA.BO,12/5/2024,36.11,6.00,0.00,10.00,6.00,37.85,34.27,30.69,1
GOODLUCK.NS,12/5/2024,1007.00,11.00,0.00,15.00,11.00,1035.33,1021.15,1006.98,1
GOLKUNDIA.BO,12/5/2024,215.00,9.00,0.00,33.00,9.00,227.53,222.02,216.50,1
GOLDIAM.NS,12/5/2024,367.25,12.00,0.00,19.00,12.00,377.23,354.63,332.04,1
GOLDTECH.NS,12/5/2024,73.36,3.00,0.00,19.00,3.00,74.34,73.35,72.36,1
GORANIN.BO,12/5/2024,109.35,12.00,0.00,17.00,12.00,122.04,116.93,111.81,1
GOTHIPL.BO,12/5/2024,40.00,10.00,0.00,17.00,10.00,42.67,41.25,39.83,1
